booth_no,type,geometry
3112,cs,"POLYGON ((-79.38421722516573 43.64186218778822, -79.38420665064098 43.64183507877131, -79.38424407362088 43.64182743400372, -79.38425464814561 43.64185454302408, -79.38421722516573 43.64186218778822))"
3114,cs,"POLYGON ((-79.38420665064098 43.64183507877131, -79.3841960761162 43.64180796974217, -79.38423349909606 43.64180032497112, -79.38424407362088 43.64182743400372, -79.38420665064098 43.64183507877131))"
3116,cs,"POLYGON ((-79.3841960761162 43.64180796974217, -79.38418550159143 43.64178086070079, -79.38422292457132 43.6417732159263, -79.38423349909606 43.64180032497112, -79.3841960761162 43.64180796974217))"
3118,cs,"POLYGON ((-79.38418550159143 43.64178086070079, -79.38417492706664 43.64175375164719, -79.38421235004654 43.64174610686924, -79.38422292457132 43.6417732159263, -79.38418550159143 43.64178086070079))"
3101,cs,"POLYGON ((-79.38420439862698 43.64203979936629, -79.3841938241022 43.64201269042953, -79.38423124708206 43.64200504568453, -79.38424182160685 43.64203215462474, -79.38420439862698 43.64203979936629))"
3103,cs,"POLYGON ((-79.3841938241022 43.64201269042953, -79.38418324957743 43.64198558148052, -79.38422067255732 43.64197793673208, -79.38423124708206 43.64200504568453, -79.3841938241022 43.64201269042953))"
3105,cs,"POLYGON ((-79.38418324957743 43.64198558148052, -79.38417267505265 43.64195847251928, -79.38421009803257 43.6419508277674, -79.38422067255732 43.64197793673208, -79.38418324957743 43.64198558148052))"
3107,cs,"POLYGON ((-79.38417267505265 43.64195847251928, -79.38416210052787 43.64193136354582, -79.38419952350777 43.64192371879049, -79.38421009803257 43.6419508277674, -79.38417267505265 43.64195847251928))"
3109,cs,"POLYGON ((-79.38416210052787 43.64193136354582, -79.38415152600312 43.64190425456013, -79.384188948983 43.64189660980134, -79.38419952350777 43.64192371879049, -79.38416210052787 43.64193136354582))"
3111,cs,"POLYGON ((-79.38415152600312 43.64190425456013, -79.38414095147832 43.6418771455622, -79.3841783744582 43.64186950079996, -79.384188948983 43.64189660980134, -79.38415152600312 43.64190425456013))"
3113,cs,"POLYGON ((-79.38414095147832 43.6418771455622, -79.38413037695358 43.64185003655204, -79.38416779993346 43.64184239178634, -79.3841783744582 43.64186950079996, -79.38414095147832 43.6418771455622))"
3115,cs,"POLYGON ((-79.38413037695358 43.64185003655204, -79.3841198024288 43.64182292752965, -79.38415722540866 43.6418152827605, -79.38416779993346 43.64184239178634, -79.38413037695358 43.64185003655204))"
3117,cs,"POLYGON ((-79.3841198024288 43.64182292752965, -79.38410922790403 43.64179581849502, -79.38414665088392 43.64178817372243, -79.38415722540866 43.6418152827605, -79.3841198024288 43.64182292752965))"
3119,cs,"POLYGON ((-79.38410922790403 43.64179581849502, -79.38409865337924 43.64176870944816, -79.38413607635914 43.64176106467212, -79.38414665088392 43.64178817372243, -79.38410922790403 43.64179581849502))"
3300,ix,"POLYGON ((-79.38416697564709 43.64204744410686, -79.38415640112231 43.64202033517355, -79.38419382410218 43.64201269042952, -79.38420439862698 43.64203979936629, -79.38416697564709 43.64204744410686))"
3302,ix,"POLYGON ((-79.38415640112231 43.64202033517355, -79.38414582659756 43.641993226228, -79.38418324957742 43.64198558148053, -79.38419382410218 43.64201269042952, -79.38415640112231 43.64202033517355))"
3304,ix,"POLYGON ((-79.38414582659756 43.641993226228, -79.38413525207277 43.64196611727021, -79.38417267505268 43.6419584725193, -79.38418324957742 43.64198558148053, -79.38414582659756 43.641993226228))"
3306,ix,"POLYGON ((-79.38413525207277 43.64196611727021, -79.384124677548 43.6419390083002, -79.3841621005279 43.64193136354583, -79.38417267505268 43.6419584725193, -79.38413525207277 43.64196611727021))"
3308,ix,"POLYGON ((-79.384124677548 43.6419390083002, -79.38411410302324 43.64191189931795, -79.38415152600312 43.64190425456013, -79.3841621005279 43.64193136354583, -79.384124677548 43.6419390083002))"
3310,ix,"POLYGON ((-79.38411410302324 43.64191189931795, -79.38410352849844 43.64188479032348, -79.38414095147832 43.6418771455622, -79.38415152600312 43.64190425456013, -79.38411410302324 43.64191189931795))"
3312,ix,"POLYGON ((-79.38410352849844 43.64188479032348, -79.38409295397371 43.64185768131676, -79.38413037695358 43.64185003655204, -79.38414095147832 43.6418771455622, -79.38410352849844 43.64188479032348))"
3314,ix,"POLYGON ((-79.38409295397371 43.64185768131676, -79.38408237944891 43.64183057229782, -79.38411980242878 43.64182292752965, -79.38413037695358 43.64185003655204, -79.38409295397371 43.64185768131676))"
3316,ix,"POLYGON ((-79.38408237944891 43.64183057229782, -79.38407180492416 43.64180346326663, -79.38410922790403 43.64179581849502, -79.38411980242878 43.64182292752965, -79.38408237944891 43.64183057229782))"
3318,ix,"POLYGON ((-79.38407180492416 43.64180346326663, -79.38406123039937 43.64177635422323, -79.38409865337927 43.64176870944816, -79.38410922790403 43.64179581849502, -79.38407180492416 43.64180346326663))"
2700,ix,"POLYGON ((-79.3845048207202 43.64197905752096, -79.38449424619542 43.64195194855679, -79.38453166917529 43.64194430380406, -79.38454224370007 43.64197141277169, -79.3845048207202 43.64197905752096))"
2702,ix,"POLYGON ((-79.38449424619542 43.64195194855679, -79.38448367167067 43.64192483958038, -79.38452109465054 43.64191719482421, -79.38453166917529 43.64194430380406, -79.38449424619542 43.64195194855679))"
2704,ix,"POLYGON ((-79.38448367167067 43.64192483958038, -79.38447309714587 43.64189773059173, -79.38451052012579 43.64189008583212, -79.38452109465054 43.64191719482421, -79.38448367167067 43.64192483958038))"
2706,ix,"POLYGON ((-79.38447309714587 43.64189773059173, -79.38446252262109 43.64187062159087, -79.38449994560099 43.6418629768278, -79.38451052012579 43.64189008583212, -79.38447309714587 43.64189773059173))"
2708,ix,"POLYGON ((-79.38446252262109 43.64187062159087, -79.38445194809634 43.64184351257776, -79.38448937107621 43.64183586781123, -79.38449994560099 43.6418629768278, -79.38446252262109 43.64187062159087))"
2710,ix,"POLYGON ((-79.38445194809634 43.64184351257776, -79.38444137357156 43.64181640355243, -79.38447879655143 43.64180875878245, -79.38448937107621 43.64183586781123, -79.38445194809634 43.64184351257776))"
2712,ix,"POLYGON ((-79.38444137357156 43.64181640355243, -79.38443079904681 43.64178929451485, -79.3844682220267 43.64178164974143, -79.38447879655143 43.64180875878245, -79.38444137357156 43.64181640355243))"
2714,ix,"POLYGON ((-79.38443079904681 43.64178929451485, -79.38442022452202 43.64176218546505, -79.38445764750188 43.64175454068818, -79.3844682220267 43.64178164974143, -79.38443079904681 43.64178929451485))"
2716,ix,"POLYGON ((-79.38442022452202 43.64176218546505, -79.38440964999727 43.64173507640301, -79.38444707297714 43.6417274316227, -79.38445764750188 43.64175454068818, -79.38442022452202 43.64176218546505))"
2718,ix,"POLYGON ((-79.38440964999727 43.64173507640301, -79.38439907547246 43.64170796732874, -79.38443649845236 43.64170032254498, -79.38444707297714 43.6417274316227, -79.38440964999727 43.64173507640301))"
2501,ix,"POLYGON ((-79.38454224370007 43.64197141277169, -79.38453166917532 43.64194430380407, -79.38456909215517 43.64193665905036, -79.38457966667995 43.64196376802144, -79.38454224370007 43.64197141277169))"
2503,ix,"POLYGON ((-79.38453166917532 43.64194430380407, -79.38452109465055 43.6419171948242, -79.38455851763041 43.64190955006706, -79.38456909215517 43.64193665905036, -79.38453166917532 43.64194430380407))"
2505,ix,"POLYGON ((-79.38452109465055 43.6419171948242, -79.38451052012576 43.64189008583212, -79.38454794310567 43.64188244107152, -79.38455851763041 43.64190955006706, -79.38452109465055 43.6419171948242))"
2507,ix,"POLYGON ((-79.38451052012576 43.64189008583212, -79.38449994560098 43.64186297682779, -79.38453736858088 43.64185533206376, -79.38454794310567 43.64188244107152, -79.38451052012576 43.64189008583212))"
2519,ix,"POLYGON ((-79.38444707297714 43.64172743162269, -79.38443649845235 43.64170032254497, -79.38447392143225 43.64169267776023, -79.38448449595703 43.64171978684141, -79.38444707297714 43.64172743162269))"
2509,ix,"POLYGON ((-79.3845267940561 43.64182822304375, -79.38453736858088 43.64185533206376, -79.38449994560098 43.64186297682779, -79.38448937107621 43.64183586781123, -79.38447879655143 43.64180875878245, -79.3844682220267 43.64178164974143, -79.38450564500658 43.64177400496703, -79.38451621953132 43.64180111401151, -79.3845267940561 43.64182822304375))"
2515,ix,"POLYGON ((-79.3844576475019 43.64175454068818, -79.38444707297714 43.64172743162269, -79.38448449595703 43.64171978684141, -79.38449507048176 43.64174689591033, -79.38450564500658 43.64177400496703, -79.3844682220267 43.64178164974143, -79.3844576475019 43.64175454068818))"
2901,ix,"POLYGON ((-79.38431809529425 43.64201719688936, -79.38430752076948 43.6419900879424, -79.38434494374935 43.64198244319452, -79.38435551827413 43.64200955214493, -79.38431809529425 43.64201719688936))"
2903,ix,"POLYGON ((-79.38430752076948 43.6419900879424, -79.38429694624473 43.64196297898319, -79.38433436922459 43.64195533423188, -79.38434494374935 43.64198244319452, -79.38430752076948 43.6419900879424))"
2905,ix,"POLYGON ((-79.38429694624473 43.64196297898319, -79.38428637171994 43.64193587001176, -79.38432379469985 43.641928225257, -79.38433436922459 43.64195533423188, -79.38429694624473 43.64196297898319))"
2907,ix,"POLYGON ((-79.38428637171994 43.64193587001176, -79.38427579719516 43.6419087610281, -79.38431322017506 43.64190111626989, -79.38432379469985 43.641928225257, -79.38428637171994 43.64193587001176))"
2909,ix,"POLYGON ((-79.38427579719516 43.6419087610281, -79.38426522267039 43.6418816520322, -79.38430264565028 43.64187400727054, -79.38431322017506 43.64190111626989, -79.38427579719516 43.6419087610281))"
2911,ix,"POLYGON ((-79.38426522267039 43.6418816520322, -79.38425464814561 43.64185454302407, -79.3842920711255 43.64184689825896, -79.38430264565028 43.64187400727054, -79.38426522267039 43.6418816520322))"
2913,ix,"POLYGON ((-79.38428149660075 43.64181978923514, -79.3842920711255 43.64184689825896, -79.38425464814561 43.64185454302407, -79.38424407362088 43.64182743400372, -79.38423349909608 43.64180032497113, -79.38427092207594 43.6417926801991, -79.38428149660075 43.64181978923514))"
2917,ix,"POLYGON ((-79.3842603475512 43.64176557115083, -79.38427092207594 43.6417926801991, -79.38423349909608 43.64180032497113, -79.38422292457132 43.6417732159263, -79.38421235004652 43.64174610686923, -79.38424977302643 43.64173846209032, -79.3842603475512 43.64176557115083))"
2500,ix,"POLYGON ((-79.38461688278778 43.6419558715703, -79.384606308263 43.64192876259567, -79.38464373124286 43.64192111783998, -79.38465426991411 43.64194813606882, -79.38465430576765 43.64194822681807, -79.38461688278778 43.6419558715703))"
2502,ix,"POLYGON ((-79.384606308263 43.64192876259567, -79.38459573373824 43.64190165360879, -79.3846331567181 43.64189400884967, -79.38464369538934 43.6419210270907, -79.38464373124286 43.64192111783998, -79.384606308263 43.64192876259567))"
2504,ix,"POLYGON ((-79.38459573373824 43.64190165360879, -79.38458515921346 43.64187454460968, -79.38462258219336 43.64186689984712, -79.38463312086459 43.64189391810033, -79.3846331567181 43.64189400884967, -79.38459573373824 43.64190165360879))"
2506,ix,"POLYGON ((-79.38458515921346 43.64187454460968, -79.38457458468868 43.64184743559836, -79.38461200766858 43.64183979083234, -79.3846225463398 43.64186680909773, -79.38462258219336 43.64186689984712, -79.38458515921346 43.64187454460968))"
2508,ix,"POLYGON ((-79.38457458468868 43.64184743559836, -79.38456401016391 43.64182032657479, -79.3846014331438 43.64181268180531, -79.38461197181502 43.64183970008292, -79.38461200766858 43.64183979083234, -79.38457458468868 43.64184743559836))"
2510,ix,"POLYGON ((-79.38456401016391 43.64182032657479, -79.38455343563912 43.64179321753898, -79.38459085861901 43.64178557276608, -79.38460139729025 43.64181259105586, -79.3846014331438 43.64181268180531, -79.38456401016391 43.64182032657479))"
2512,ix,"POLYGON ((-79.38455343563912 43.64179321753898, -79.38454286111438 43.64176610849096, -79.38458028409427 43.64175846371458, -79.38459082276547 43.64178548201656, -79.38459085861901 43.64178557276608, -79.38455343563912 43.64179321753898))"
2514,ix,"POLYGON ((-79.38454286111438 43.64176610849096, -79.3845322865896 43.64173899943069, -79.38456970956946 43.64173135465087, -79.38458024824074 43.64175837296504, -79.38458028409427 43.64175846371458, -79.38454286111438 43.64176610849096))"
2516,ix,"POLYGON ((-79.3845322865896 43.64173899943069, -79.38452171206484 43.6417118903582, -79.38455913504473 43.64170424557493, -79.38456967371594 43.64173126390129, -79.38456970956946 43.64173135465087, -79.3845322865896 43.64173899943069))"
2518,ix,"POLYGON ((-79.38452171206484 43.6417118903582, -79.38451113754004 43.64168478127346, -79.38454856051995 43.64167713648675, -79.38455909919118 43.6417041548253, -79.38455913504473 43.64170424557493, -79.38452171206484 43.6417118903582))"
2301,ix,"POLYGON ((-79.38465426991411 43.64194813606882, -79.38464369538934 43.6419210270907, -79.38468111836922 43.64191338233403, -79.38469169289399 43.64194049131561, -79.38465426991411 43.64194813606882))"
2303,ix,"POLYGON ((-79.38464369538934 43.6419210270907, -79.38463312086459 43.64189391810033, -79.38467054384445 43.64188627334023, -79.38468111836922 43.64191338233403, -79.38464369538934 43.6419210270907))"
2305,ix,"POLYGON ((-79.38463312086459 43.64189391810033, -79.3846225463398 43.64186680909773, -79.38465996931971 43.64185916433419, -79.38467054384445 43.64188627334023, -79.38463312086459 43.64189391810033))"
2311,ix,"POLYGON ((-79.38460139729025 43.64181259105586, -79.38459082276547 43.64178548201656, -79.38462824574536 43.64177783724266, -79.38463882027014 43.6418049462854, -79.38460139729025 43.64181259105586))"
2317,ix,"POLYGON ((-79.38456967371594 43.64173126390129, -79.38455909919118 43.6417041548253, -79.38459652217107 43.64169651004104, -79.3846070966958 43.64172361912048, -79.38456967371594 43.64173126390129))"
2319,ix,"POLYGON ((-79.38455909919118 43.6417041548253, -79.38454852466639 43.64167704573708, -79.38458594764629 43.64166940094938, -79.38459652217107 43.64169651004104, -79.38455909919118 43.6417041548253))"
2302,ix,"POLYGON ((-79.3847181221236 43.64190622488483, -79.38470754759882 43.64187911588779, -79.38474497057874 43.64187147112581, -79.38475554510347 43.64189858012629, -79.3847181221236 43.64190622488483))"
2304,ix,"POLYGON ((-79.38470754759882 43.64187911588779, -79.38469697307404 43.64185200687852, -79.38473439605394 43.64184436211308, -79.38474497057874 43.64187147112581, -79.38470754759882 43.64187911588779))"
2306,ix,"POLYGON ((-79.38469697307404 43.64185200687852, -79.38468639854928 43.64182489785701, -79.38472382152916 43.64181725308812, -79.38473439605394 43.64184436211308, -79.38469697307404 43.64185200687852))"
2308,ix,"POLYGON ((-79.38468639854928 43.64182489785701, -79.3846758240245 43.64179778882328, -79.38471324700438 43.64179014405094, -79.38472382152916 43.64181725308812, -79.38468639854928 43.64182489785701))"
2310,ix,"POLYGON ((-79.3846758240245 43.64179778882328, -79.38466524949975 43.64177067977731, -79.38470267247965 43.64176303500152, -79.38471324700438 43.64179014405094, -79.3846758240245 43.64179778882328))"
2312,ix,"POLYGON ((-79.38466524949975 43.64177067977731, -79.38465467497497 43.64174357071911, -79.38469209795483 43.64173592593986, -79.38470267247965 43.64176303500152, -79.38466524949975 43.64177067977731))"
2314,ix,"POLYGON ((-79.38465467497497 43.64174357071911, -79.3846441004502 43.64171646164866, -79.38468152343009 43.64170881686599, -79.38469209795483 43.64173592593986, -79.38465467497497 43.64174357071911))"
2316,ix,"POLYGON ((-79.3846441004502 43.64171646164866, -79.38463352592541 43.641689352566, -79.38467094890531 43.64168170777987, -79.38468152343009 43.64170881686599, -79.3846441004502 43.64171646164866))"
2103,ix,"POLYGON ((-79.3847555451035 43.64189858012629, -79.38474497057872 43.6418714711258, -79.38478239355864 43.64186382636284, -79.38479296808337 43.64189093536678, -79.3847555451035 43.64189858012629))"
2105,ix,"POLYGON ((-79.38474497057872 43.6418714711258, -79.38473439605394 43.64184436211308, -79.38477181903384 43.64183671734668, -79.38478239355864 43.64186382636284, -79.38474497057872 43.6418714711258))"
2107,ix,"POLYGON ((-79.38473439605394 43.64184436211308, -79.38472382152918 43.64181725308813, -79.38476124450906 43.64180960831826, -79.38477181903384 43.64183671734668, -79.38473439605394 43.64184436211308))"
2109,ix,"POLYGON ((-79.38472382152918 43.64181725308813, -79.38471324700438 43.64179014405094, -79.38475066998429 43.64178249927762, -79.38476124450906 43.64180960831826, -79.38472382152918 43.64181725308813))"
2111,ix,"POLYGON ((-79.38471324700438 43.64179014405094, -79.38470267247965 43.64176303500152, -79.38474009545953 43.64175539022475, -79.38475066998429 43.64178249927762, -79.38471324700438 43.64179014405094))"
2113,ix,"POLYGON ((-79.38470267247965 43.64176303500152, -79.38469209795487 43.64173592593988, -79.38472952093473 43.64172828115966, -79.38474009545953 43.64175539022475, -79.38470267247965 43.64176303500152))"
2115,ix,"POLYGON ((-79.38469209795487 43.64173592593988, -79.3846815234301 43.64170881686599, -79.38471894640999 43.64170117208232, -79.38472952093473 43.64172828115966, -79.38469209795487 43.64173592593988))"
2117,ix,"POLYGON ((-79.3846815234301 43.64170881686599, -79.38467094890531 43.64168170777987, -79.38470837188521 43.64167406299276, -79.38471894640999 43.64170117208232, -79.3846815234301 43.64170881686599))"
2307,ix,"POLYGON ((-79.38464939479492 43.64183205531591, -79.38465996931971 43.64185916433419, -79.3846225463398 43.64186680909773, -79.38461197181502 43.64183970008292, -79.38460139729025 43.64181259105586, -79.38463882027014 43.6418049462854, -79.38464939479492 43.64183205531591))"
2313,ix,"POLYGON ((-79.38461767122061 43.64175072818768, -79.38462824574536 43.64177783724266, -79.38459082276547 43.64178548201656, -79.38458024824074 43.64175837296504, -79.38456967371594 43.64173126390129, -79.3846070966958 43.64172361912048, -79.38461767122061 43.64175072818768))"
2902,ix,"POLYGON ((-79.38438259861123 43.64197549052836, -79.38437202408643 43.64194838156257, -79.38440944706635 43.6419407368094, -79.38442002159108 43.64196784577864, -79.38438259861123 43.64197549052836))"
2904,ix,"POLYGON ((-79.38437202408643 43.64194838156257, -79.38436144956165 43.64192127258456, -79.38439887254155 43.64191362782793, -79.38440944706635 43.6419407368094, -79.38437202408643 43.64194838156257))"
2906,ix,"POLYGON ((-79.38436144956165 43.64192127258456, -79.3843508750369 43.64189416359431, -79.38438829801679 43.64188651883423, -79.38439887254155 43.64191362782793, -79.38436144956165 43.64192127258456))"
2908,ix,"POLYGON ((-79.3843508750369 43.64189416359431, -79.38434030051211 43.64186705459182, -79.38437772349198 43.64185940982831, -79.38438829801679 43.64188651883423, -79.3843508750369 43.64189416359431))"
2910,ix,"POLYGON ((-79.38434030051211 43.64186705459182, -79.38432972598736 43.64183994557712, -79.38436714896724 43.64183230081014, -79.38437772349198 43.64185940982831, -79.38434030051211 43.64186705459182))"
2703,ix,"POLYGON ((-79.38442002159113 43.64196784577864, -79.38440944706633 43.6419407368094, -79.38444687004625 43.64193309205525, -79.38445744457098 43.64196020102794, -79.38442002159113 43.64196784577864))"
2705,ix,"POLYGON ((-79.38440944706633 43.6419407368094, -79.38439887254155 43.64191362782793, -79.38443629552145 43.64190598307034, -79.38444687004625 43.64193309205525, -79.38440944706633 43.6419407368094))"
2707,ix,"POLYGON ((-79.38439887254155 43.64191362782793, -79.3843882980168 43.64188651883424, -79.38442572099667 43.64187887407319, -79.38443629552145 43.64190598307034, -79.38439887254155 43.64191362782793))"
2709,ix,"POLYGON ((-79.3843882980168 43.64188651883424, -79.38437772349201 43.64185940982831, -79.38441514647188 43.64185176506381, -79.38442572099667 43.64187887407319, -79.3843882980168 43.64188651883424))"
2711,ix,"POLYGON ((-79.38437772349201 43.64185940982831, -79.38436714896726 43.64183230081014, -79.38440457194714 43.64182465604219, -79.38441514647188 43.64185176506381, -79.38437772349201 43.64185940982831))"
2713,ix,"POLYGON ((-79.38436714896726 43.64183230081014, -79.38435657444248 43.64180519177975, -79.38439399742235 43.64179754700834, -79.38440457194714 43.64182465604219, -79.38436714896726 43.64183230081014))"
2912,ix,"POLYGON ((-79.3843459999177 43.64177808273711, -79.38435657444245 43.64180519177974, -79.38436714896724 43.64183230081014, -79.38432972598736 43.64183994557712, -79.38431915146258 43.64181283655017, -79.38430857693783 43.64178572751098, -79.38429800241303 43.64175861845957, -79.38433542539292 43.64175097368225, -79.3843459999177 43.64177808273711))"
2715,ix,"POLYGON ((-79.3843834228976 43.64177043796226, -79.38439399742235 43.64179754700834, -79.38435657444248 43.64180519177975, -79.38434599991773 43.64177808273711, -79.38433542539292 43.64175097368225, -79.38437284837282 43.64174332890396, -79.3843834228976 43.64177043796226))"
2640,ix,"POLYGON ((-79.38459093781604 43.6421981418003, -79.38458036329128 43.64217103293498, -79.38461778627116 43.64216338821013, -79.38462836079594 43.64219049707891, -79.38459093781604 43.6421981418003))"
2642,ix,"POLYGON ((-79.38458036329128 43.64217103293498, -79.3845697887665 43.64214392405742, -79.38460721174638 43.64213627932914, -79.38461778627116 43.64216338821013, -79.38458036329128 43.64217103293498))"
2644,ix,"POLYGON ((-79.3845697887665 43.64214392405742, -79.38455921424175 43.64211681516765, -79.38459663722163 43.64210917043589, -79.38460721174638 43.64213627932914, -79.3845697887665 43.64214392405742))"
2646,ix,"POLYGON ((-79.38455921424175 43.64211681516765, -79.38454863971697 43.64208970626563, -79.38458606269683 43.64208206153044, -79.38459663722163 43.64210917043589, -79.38455921424175 43.64211681516765))"
2648,ix,"POLYGON ((-79.38454863971697 43.64208970626563, -79.3845380651922 43.64206259735138, -79.38457548817209 43.64205495261274, -79.38458606269683 43.64208206153044, -79.38454863971697 43.64208970626563))"
2650,ix,"POLYGON ((-79.3845380651922 43.64206259735138, -79.38452749066741 43.6420354884249, -79.38456491364731 43.6420278436828, -79.38457548817209 43.64205495261274, -79.3845380651922 43.64206259735138))"
