,name,commodity
169,Discovery Group,Copper
170,Eagle Plains Resources Ltd.,Copper
171,Earthmetrix Inc.,Copper
172,Eastfield Resources Ltd.,Copper
173,"EDM-Empresa de Desenvolvimento Mineiro, SA",Copper
174,Elim Mining Incorporated,Copper
175,Ely Gold Royalties Inc.,Copper
176,EMX Royalty Corp.,Copper
177,Entrée Resources Ltd.,Copper
178,Ero Copper Corp.,Copper
179,Evrim Resources Corp.,Copper
180,Excelsior Mining Corp.,Copper
181,Exiro Minerals Corp.,Copper
182,Foran Mining Corporation,Copper
183,Forum Energy Metals Corp.,Copper
184,Galway Metals Inc.,Copper
185,Generation Mining Limited,Copper
186,Geomega Resources Inc.,Copper
187,Geophysx Jamaica Ltd,Copper
188,Globe Trotters Resource Group Inc.,Copper
189,Globmine LLP,Copper
190,Go Metals Corp.,Copper
191,Golden Arrow Resources,Copper
192,GoldMining Inc.,Copper
193,Gossan Resources Limited,Copper
194,GR Sliver Mining Ltd.,Copper
195,Grid Metals Corp.,Copper
196,GT Gold Corp.,Copper
197,Hammer Metals Ltd,Copper
198,Happy Creek Minerals Ltd.,Copper
199,Harfang Exploration Inc.,Copper
200,High Power Exploration,Copper
201,International Millennium Mining Corp.,Copper
202,Ivanhoe Mines,Copper
203,Japan Gold Corp.,Copper
204,K92 Mining Inc.,Copper
205,Kutcho Copper Corp.,Copper
206,Lara Exploration Ltd.,Copper
207,Latin Metals Inc.,Copper
208,Libero Copper,Copper
209,Longland Resources Ltd,Copper
210,"Lumina Group, The",Copper
211,Lundin Group,Copper
212,MANAGEM Group,Copper
213,Manex Resource Group Inc.,Copper
214,Maya Gold & Silver Inc.,Copper
215,Metallic Group of Companies,Copper
216,Metals Group Inc.,Copper
217,Midland Exploration Inc.,Copper
218,Minaurum Gold Inc.,Copper
219,Minera Alamos Inc.,Copper
220,Mira Stone Ltd,Copper
221,Mirasol Resources Ltd.,Copper
222,Monument Mining Limited,Copper
223,Mundoro Capital Inc.,Copper
224,Nevada Copper Corp.,Copper
225,New Gold Inc.,Copper
226,Newcrest Mining Ltd.,Copper
227,Newmont Corporation,Copper
228,Newrange Gold Corp.,Copper
229,Nexa Resources S.A.,Copper
230,NioBay Metals Inc.,Copper
231,Noront Resources Ltd.,Copper
232,Northern Dynasty Minerals Ltd.,Copper
233,Northern Shield Resources Inc.,Copper
234,OceanaGold Corporation,Copper
235,Opus One Resources Inc.,Copper
236,Orestone Mining Corp,Copper
237,Pacific Empire Minerals Corp.,Copper
238,Pacific Trends Resources Pty Ltd,Copper
239,Palladium One,Copper
240,Pancontinental Resources Corporation,Copper
241,Panoro Minerals Ltd.,Copper
242,Panthera Resources Plc,Copper
243,Patagonia Exploracion S.A.,Copper
244,Peel Mining Ltd.,Copper
245,Playfair Mining Ltd.,Copper
246,PolyMet Mining Corp.,Copper
247,Power Ore Inc.,Copper
248,Prolific Mining Corp.,Copper
249,Quaterra Resources Inc.,Copper
250,Red Cloud Securities Inc.,Copper
251,Red Metal Resources Ltd.,Copper
252,Regulus Resources Inc.,Copper
253,Revelo Resources Corp.,Copper
254,Rio Tinto,Copper
255,Riverside Resources Inc.,Copper
256,Rockcliff Metals Corporation,Copper
257,ROKMASTER Resources Corp.,Copper
258,Romios Gold Resources Inc.,Copper
259,Royal Road Minerals,Copper
260,Rugby Mining Limited,Copper
261,Salazar Resources Limited,Copper
262,Sandstorm Gold Royalties,Copper
263,Searchlight Resources Inc.,Copper
264,Serengeti Resources Inc.,Copper
