,name,commodity
756,Metallic Group of Companies,Nickel
757,Midland Exploration Inc.,Nickel
758,Mira Stone Ltd,Nickel
759,Murchison Minerals Ltd.,Nickel
760,Noront Resources Ltd.,Nickel
761,Northern Shield Resources Inc.,Nickel
762,Opus One Resources Inc.,Nickel
763,Orford Mining Corp.,Nickel
764,Palladium One,Nickel
765,Pancontinental Resources Corporation,Nickel
766,Playfair Mining Ltd.,Nickel
767,PolyMet Mining Corp.,Nickel
768,Power Ore Inc.,Nickel
769,Red Cloud Securities Inc.,Nickel
770,Rio Tinto,Nickel
771,RNC Minerals,Nickel
772,Searchlight Resources Inc.,Nickel
773,Sherritt International Corporation,Nickel
774,South32 Limited,Nickel
775,SPC Metals,Nickel
776,Sphinx Resources Ltd.,Nickel
777,Strategic Exploration Group,Nickel
778,Talon Metals Corp.,Nickel
779,Transition Metals Corp.,Nickel
780,UEX Corporation,Nickel
781,Vale Canada Limited,Nickel
782,Valoriza Mineria SL,Nickel
783,Victory Nickel Inc.,Nickel
784,Vulcan Minerals Inc.,Nickel
785,Windfall Geotek Inc.,Nickel
786,Yukon Mining Alliance,Nickel
787,BHP,Oil & Gas
788,Desert Mountain Energy Corp.,Oil & Gas
789,Fomicruz S.E.,Oil & Gas
790,Lundin Group,Oil & Gas
791,Andino Commodities S.A.S,Other
792,Ares Strategic Mining Inc.,Other
793,Blackstone Minerals Ltd,Other
794,Canadian Securities Exchange,Other
795,Century Global Commodities Corporation,Other
796,Constantine Metal Resources Ltd.,Other
797,CVK Mining Group,Other
798,Desert Mountain Energy Corp.,Other
799,Earthmetrix Inc.,Other
800,Exiro Minerals Corp.,Other
801,Five Star Diamond Limited,Other
802,Globex Mining Enterprises Inc.,Other
803,Gold Group Management Inc.,Other
804,Goldmoney Inc.,Other
805,High Power Exploration,Other
806,HPQ Silicon Resources,Other
807,Hudson Resources Inc.,Other
808,Jamaica Stock Exchange,Other
809,Jameson Resources Limited,Other
810,Latin Metals Inc.,Other
811,Market Making Services Inc.,Other
812,Maya Gold & Silver Inc.,Other
813,Metals Group Inc.,Other
814,Mira Stone Ltd,Other
815,Montero Mining & Exploration Ltd.,Other
816,"Morefield Gem Mine, Inc.",Other
817,Neo Lithium Corp.,Other
818,New Age Metals,Other
819,NioBay Metals Inc.,Other
820,Noront Resources Ltd.,Other
821,Nouveau Monde Graphite,Other
822,OTC Markets Group,Other
823,Red Metal Resources Ltd.,Other
824,Resource Capital Funds,Other
825,Reunion Gold Corporation,Other
826,Richardson GMP - Alexandra Horwood,Other
827,ROKMASTER Resources Corp.,Other
828,Romios Gold Resources Inc.,Other
829,Sidex,Other
830,Spirit Mining LLC,Other
831,Sprott Group of Companies,Other
832,SQM,Other
833,Steppe Gold Limited,Other
834,Stuhini Exploration Ltd.,Other
835,Toronto Stock Exchange,Other
836,Transition Metals Corp.,Other
837,UEX Corporation,Other
838,Valoriza Mineria SL,Other
839,VanadiumCorp Resource Inc.,Other
840,Victory Nickel Inc.,Other
841,Vior Inc.,Other
842,Vulcan Minerals Inc.,Other
843,Western Uranium & Vanadium Corp.,Other
844,Zen Graphene Solutions,Other
845,Zimtu Capital Corp.,Other
846,Anglo American,PGM
847,Balmoral Resources Ltd.,PGM
848,Discovery Group,PGM
849,Eagle Plains Resources Ltd.,PGM
850,Eastfield Resources Ltd.,PGM
851,Forum Energy Metals Corp.,PGM
852,Generation Mining Limited,PGM
853,Globex Mining Enterprises Inc.,PGM
854,Golden Arrow Resources,PGM
855,Goldspot Discoveries Inc.,PGM
856,Gossan Resources Limited,PGM
857,Grid Metals Corp.,PGM
858,Ivanhoe Mines,PGM
859,Longland Resources Ltd,PGM
860,Metallic Group of Companies,PGM
861,Midland Exploration Inc.,PGM
862,New Age Metals,PGM
863,Noront Resources Ltd.,PGM
864,Northern Shield Resources Inc.,PGM
865,Orford Mining Corp.,PGM
866,Pavey Ark Minerals Inc.,PGM
867,PolyMet Mining Corp.,PGM
868,Rio Tinto,PGM
869,Sherritt International Corporation,PGM
870,SPC Metals,PGM
871,Transition Metals Corp.,PGM
872,Wallbridge Mining Company Limited,PGM
873,Yukon Mining Alliance,PGM
874,Appia Energy Corp.,REE & electric metals
875,Ardiden Limited,REE & electric metals
876,Aurum Discovery,REE & electric metals
877,Avalon Advanced Materials Inc.,REE & electric metals
878,Canada Nickel Company,REE & electric metals
879,Commerce Resources Corp.,REE & electric metals
880,Critical Elements Corporation,REE & electric metals
881,Eagle Plains Resources Ltd.,REE & electric metals
882,Earthmetrix Inc.,REE & electric metals
883,Endurance Gold Corp,REE & electric metals
884,Exiro Minerals Corp.,REE & electric metals
885,Focus Graphite Inc.,REE & electric metals
886,Fortune Minerals Limited,REE & electric metals
887,Forum Energy Metals Corp.,REE & electric metals
888,Frontier Lithium Inc.,REE & electric metals
889,Geomega Resources Inc.,REE & electric metals
890,Geophysx Jamaica Ltd,REE & electric metals
891,Globex Mining Enterprises Inc.,REE & electric metals
892,Go Metals Corp.,REE & electric metals
893,Golden Arrow Resources,REE & electric metals
894,Gossan Resources Limited,REE & electric metals
895,Hammer Metals Ltd,REE & electric metals
896,ioneer,REE & electric metals
897,Largo Resources Ltd.,REE & electric metals
898,Leading Edge Materials Corp.,REE & electric metals
899,Lepidico Ltd.,REE & electric metals
900,Lomiko Metals Inc.,REE & electric metals
901,Millennial Lithium Corp.,REE & electric metals
902,Mira Stone Ltd,REE & electric metals
903,Mkango Resources,REE & electric metals
904,Montero Mining & Exploration Ltd.,REE & electric metals
905,"Morefield Gem Mine, Inc.",REE & electric metals
906,Neo Lithium Corp.,REE & electric metals
907,NioBay Metals Inc.,REE & electric metals
908,Northern Graphite Corporation,REE & electric metals
909,Oro Verde Limited,REE & electric metals
910,Pancontinental Resources Corporation,REE & electric metals
911,Patagonia Exploracion S.A.,REE & electric metals
912,Plateau Energy Metals Inc.,REE & electric metals
913,Portofino Resources Inc.,REE & electric metals
914,Power Ore Inc.,REE & electric metals
915,Red Metal Resources Ltd.,REE & electric metals
916,Rio Tinto,REE & electric metals
917,Sayona Mining Limited,REE & electric metals
918,Searchlight Resources Inc.,REE & electric metals
919,Ucore Rare Metals Inc.,REE & electric metals
920,VanadiumCorp Resource Inc.,REE & electric metals
921,Wealth Minerals Ltd.,REE & electric metals
922,Wheaton Precious Metals Corp.,REE & electric metals
923,Zen Graphene Solutions,REE & electric metals
924,AbraPlata Resource Corp.,Silver
925,Adriatic Metals Plc,Silver
926,Adventus Mining Corporation,Silver
927,Affinity Metals  Corp,Silver
928,Alexco Resource Corp.,Silver
929,Almaden Minerals Ltd.,Silver
930,Altius Minerals Corp.,Silver
931,American Creek Resources Ltd.,Silver
932,Americas Gold and Silver,Silver
933,Aquila Resources Inc.,Silver
934,Argonaut Gold Inc.,Silver
935,Ascendant Resources Inc.,Silver
936,Ascot Resources Ltd.,Silver
937,ATAC Resources Ltd.,Silver
938,Auramex Resource Corp,Silver
939,Aurania Resources Ltd.,Silver
940,Aurora Minerals Group LLP,Silver
941,AURYN Mining Corp.,Silver
942,Auryn Resources Inc.,Silver
943,Avino Silver & Gold Mines Ltd.,Silver
944,Awale Resources Ltd.,Silver
945,Azure Minerals Limited,Silver
946,BeMetals Corp.,Silver
947,BlackRock Gold Corp.,Silver
948,Blind Creek Resources Ltd.,Silver
949,Brixton Metals Corporation,Silver
950,BTU Metals Corp.,Silver
951,Callinex Mines Inc.,Silver
952,Cerro de Pasco Resources Inc.,Silver
953,Chakana Copper Corporation,Silver
954,Chesapeake Gold Corporation,Silver
955,Constantine Metal Resources Ltd.,Silver
956,Consulting & Mining Sevices SRL,Silver
957,Copper Mountain Mining Corporation,Silver
958,Corvus Gold Inc.,Silver
959,Crystal Lake Mining,Silver
960,CVK Mining Group,Silver
961,Defiance Silver Corp.,Silver
962,Discovery Group,Silver
963,Eagle Plains Resources Ltd.,Silver
964,Eastfield Resources Ltd.,Silver
965,Eclipse Gold Mining Corp,Silver
966,"EDM-Empresa de Desenvolvimento Mineiro, SA",Silver
967,Ely Gold Royalties Inc.,Silver
968,EMX Royalty Corp.,Silver
969,Equus Mining Limited,Silver
970,Eros Resources Corp.,Silver
971,Evrim Resources Corp.,Silver
972,First Majestic Silver Corp.,Silver
973,Fomicruz S.E.,Silver
974,Forum Energy Metals Corp.,Silver
975,Galway Metals Inc.,Silver
976,Geophysx Jamaica Ltd,Silver
977,Globe Trotters Resource Group Inc.,Silver
978,Globex Mining Enterprises Inc.,Silver
979,Gold Group Management Inc.,Silver
980,Golden Arrow Resources,Silver
981,Golden Minerals Company,Silver
982,Goldmoney Inc.,Silver
983,Goldspot Discoveries Inc.,Silver
984,GR Sliver Mining Ltd.,Silver
985,GT Gold Corp.,Silver
986,Hecla Mining Company,Silver
987,High Power Exploration,Silver
988,Impact Silver Corp.,Silver
989,Integra Resources Corp.,Silver
990,International Millennium Mining Corp.,Silver
991,Klondike Silver Corp.,Silver
992,Kootenay Silver Inc.,Silver
993,Kutcho Copper Corp.,Silver
994,Latin Metals Inc.,Silver
995,Laurion Mineral Exploration Inc.,Silver
996,Lundin Group,Silver
997,Mako Mining Corp.,Silver
998,MANAGEM Group,Silver
999,Manex Resource Group Inc.,Silver
1000,Maya Gold & Silver Inc.,Silver
1001,McEwen Mining Inc.,Silver
1002,Metallic Group of Companies,Silver
1003,Metals Group Inc.,Silver
1004,Midland Exploration Inc.,Silver
1005,Minaurum Gold Inc.,Silver
1006,Mira Stone Ltd,Silver
1007,Mirasol Resources Ltd.,Silver
1008,Murchison Minerals Ltd.,Silver
1009,New Found Gold Corp,Silver
1010,New Gold Inc.,Silver
1011,New Pacific Metals Corp.,Silver
1012,Newcrest Mining Ltd.,Silver
1013,Newmont Corporation,Silver
1014,Newrange Gold Corp.,Silver
1015,Nicola Mining Inc.,Silver
1016,Northern Dynasty Minerals Ltd.,Silver
1017,NorZinc Ltd,Silver
1018,Opus One Resources Inc.,Silver
1019,Pacific Trends Resources Pty Ltd,Silver
1020,Patagonia Exploracion S.A.,Silver
1021,Peel Mining Ltd.,Silver
1022,Power Ore Inc.,Silver
1023,PPX Mining Corp.,Silver
1024,Premier Gold Mines Limited,Silver
1025,Prophecy Development Corp.,Silver
1026,Red Cloud Securities Inc.,Silver
1027,Redstar Gold Corp.,Silver
1028,Regulus Resources Inc.,Silver
1029,Renaissance Gold Inc.,Silver
1030,Revelo Resources Corp.,Silver
1031,Rio Tinto,Silver
1032,Riverside Resources Inc.,Silver
1033,Rockcliff Metals Corporation,Silver
1034,ROKMASTER Resources Corp.,Silver
1035,Romios Gold Resources Inc.,Silver
1036,Royal Canadian Mint,Silver
1037,Rugby Mining Limited,Silver
1038,Sabina Gold & Silver Corp.,Silver
1039,Sandstorm Gold Royalties,Silver
1040,Sherritt International Corporation,Silver
1041,Sierra Metals Inc.,Silver
1042,Silver Bear Resources Plc.,Silver
1043,Silver One Resources,Silver
1044,Silvercorp Metals Inc.,Silver
1045,SilverCrest Metals Inc.,Silver
1046,Sitka Gold Corp,Silver
1047,Skeena Resources Ltd.,Silver
1048,Sonoro Metals Corp.,Silver
1049,South32 Limited,Silver
1050,Sphinx Resources Ltd.,Silver
1051,Spirit Mining LLC,Silver
1052,Sprott Group of Companies,Silver
1053,Steppe Gold Limited,Silver
1054,Strategic Exploration Group,Silver
1055,Stuhini Exploration Ltd.,Silver
1056,Telson Mining Corporation,Silver
1057,Tempus Resources Limited,Silver
1058,Timberline Resources Corporation,Silver
1059,Tinka Resources Limited,Silver
1060,Trevali Mining Corporation,Silver
1061,Trilogy Metals Inc.,Silver
1062,Vizsla Resources Corp.,Silver
1063,VR Resources Ltd.,Silver
1064,Western Alaska Copper and Gold,Silver
1065,Westhaven Ventures Inc.,Silver
1066,Wheaton Precious Metals Corp.,Silver
1067,White Rock Minerals,Silver
1068,Windfall Geotek Inc.,Silver
1069,Ximen Mining Corp.,Silver
1070,Yukon Mining Alliance,Silver
1071,ALX Resources Corp.,Uranium
1072,Appia Energy Corp.,Uranium
1073,BHP,Uranium
1074,CanAlaska Uranium Ltd.,Uranium
1075,Denison Mines Corp.,Uranium
1076,Discovery Group,Uranium
1077,Eagle Plains Resources Ltd.,Uranium
1078,Energy Fuels Inc.,Uranium
1079,Fission Uranium Corp.,Uranium
1080,Fomicruz S.E.,Uranium
1081,Forum Energy Metals Corp.,Uranium
1082,Golden Arrow Resources,Uranium
1083,IsoEnergy Ltd.,Uranium
1084,Lundin Group,Uranium
1085,Maya Gold & Silver Inc.,Uranium
1086,Plateau Energy Metals Inc.,Uranium
1087,Purepoint Uranium Group Inc.,Uranium
1088,Red Cloud Securities Inc.,Uranium
1089,Rio Tinto,Uranium
1090,Skyharbour Resources Ltd.,Uranium
1091,UEX Corporation,Uranium
1092,Uranium Energy Corp.,Uranium
1093,Ur-Energy Inc.,Uranium
1094,Western Uranium & Vanadium Corp.,Uranium
1095,Adriatic Metals Plc,Zinc
1096,Adventus Mining Corporation,Zinc
1097,Affinity Metals  Corp,Zinc
1098,Aftermath Silver Ltd,Zinc
1099,Alexco Resource Corp.,Zinc
1100,American Creek Resources Ltd.,Zinc
1101,Americas Gold and Silver,Zinc
1102,Aquila Resources Inc.,Zinc
1103,Ascendant Resources Inc.,Zinc
1104,ATAC Resources Ltd.,Zinc
1105,Auramex Resource Corp,Zinc
1106,Aurum Discovery,Zinc
1107,Avino Silver & Gold Mines Ltd.,Zinc
1108,Azure Minerals Limited,Zinc
1109,BeMetals Corp.,Zinc
1110,Blind Creek Resources Ltd.,Zinc
1111,BWR Exploration Inc.,Zinc
1112,Callinex Mines Inc.,Zinc
1113,CanAlaska Uranium Ltd.,Zinc
1114,Cerro de Pasco Resources Inc.,Zinc
1115,Chesapeake Gold Corporation,Zinc
1116,Commander Resources Ltd.,Zinc
1117,Constantine Metal Resources Ltd.,Zinc
1118,CVK Mining Group,Zinc
1119,Discovery Group,Zinc
1120,Eagle Plains Resources Ltd.,Zinc
1121,Eastfield Resources Ltd.,Zinc
1122,"EDM-Empresa de Desenvolvimento Mineiro, SA",Zinc
1123,EMX Royalty Corp.,Zinc
1124,Exiro Minerals Corp.,Zinc
1125,Foran Mining Corporation,Zinc
1126,Galway Metals Inc.,Zinc
1127,Geophysx Jamaica Ltd,Zinc
1128,Globe Trotters Resource Group Inc.,Zinc
1129,Globex Mining Enterprises Inc.,Zinc
1130,Globmine LLP,Zinc
1131,Golden Arrow Resources,Zinc
1132,Gossan Resources Limited,Zinc
1133,GR Sliver Mining Ltd.,Zinc
1134,Hecla Mining Company,Zinc
1135,International Millennium Mining Corp.,Zinc
1136,Klondike Silver Corp.,Zinc
1137,Kootenay Silver Inc.,Zinc
1138,Kutcho Copper Corp.,Zinc
1139,Laurion Mineral Exploration Inc.,Zinc
1140,MANAGEM Group,Zinc
1141,Manex Resource Group Inc.,Zinc
1142,Maya Gold & Silver Inc.,Zinc
1143,Metallic Group of Companies,Zinc
1144,Midland Exploration Inc.,Zinc
1145,Mira Stone Ltd,Zinc
1146,Murchison Minerals Ltd.,Zinc
1147,Newmont Corporation,Zinc
1148,Nexa Resources S.A.,Zinc
1149,Noront Resources Ltd.,Zinc
1150,NorZinc Ltd,Zinc
1151,Opus One Resources Inc.,Zinc
1152,Osisko Metals Incorporated,Zinc
1153,Pacific Trends Resources Pty Ltd,Zinc
1154,Patagonia Exploracion S.A.,Zinc
1155,Peel Mining Ltd.,Zinc
1156,Prophecy Development Corp.,Zinc
1157,Red Cloud Securities Inc.,Zinc
1158,Rio Tinto,Zinc
1159,Rockcliff Metals Corporation,Zinc
1160,ROKMASTER Resources Corp.,Zinc
1161,ScoZinc Mining Ltd.,Zinc
1162,Sherritt International Corporation,Zinc
1163,Sierra Metals Inc.,Zinc
1164,Silvercorp Metals Inc.,Zinc
1165,Solitario Zinc Corp.,Zinc
1166,South32 Limited,Zinc
1167,Sphinx Resources Ltd.,Zinc
1168,Spirit Mining LLC,Zinc
1169,Strategic Exploration Group,Zinc
1170,Stuhini Exploration Ltd.,Zinc
1171,Sun Peak Metals,Zinc
1172,Teck Resources Limited,Zinc
1173,Telson Mining Corporation,Zinc
1174,Tethyan Resource Corp.,Zinc
1175,Tinka Resources Limited,Zinc
1176,Transition Metals Corp.,Zinc
1177,Trevali Mining Corporation,Zinc
1178,Trilogy Metals Inc.,Zinc
1179,Ubique Minerals Ltd.,Zinc
1180,Valoriza Mineria SL,Zinc
1181,Western Alaska Copper and Gold,Zinc
1182,White Rock Minerals,Zinc
1183,Windfall Geotek Inc.,Zinc
1184,Yorbeau Resources Inc.,Zinc
1185,Yukon Mining Alliance,Zinc
1186,Zinc One Resources Inc.,Zinc
1187,ZincX Resources Corp.,Zinc
