name,exchange,symbol,stock,add,country
Latin Metals Inc.,TSX-Venture,LMS,0.12 CDN,"1177 W Hastings St, Vancouver, BC V6E 2K3",ca
Laurion Mineral Exploration Inc.,TSX-Venture/OTCPINK,LME/LMEFF,0.17 CDN,"40 King St W, Toronto, ON M5H 3S1",ca
Leading Edge Materials Corp.,TSX-Venture/OTCQB/NASDAQ First North,LEM/LEMIF/LEMSE,0.10 CDN,"1090 W Georgia St, Vancouver, BC V6E 3V7",ca
Leagold Mining Corporation,TSE,LMC ,3.59 CDN,"595 Burrard St, Vancouver, BC V7X 1J1",ca
Lepidico Ltd.,Sydney (ASX),LPD ,0.01 AUS,"55 University Ave, Toronto, ON M5J 2H7",ca
Libero Copper,TSX-Venture ,LBC,0.07 CDN,"1111 W Hastings St, Vancouver, BC V6E 2J3",ca
Liberty Gold Corp.,TSE/OTCQX,LGD/LGDTF,1.21 CDN,"1055 W Hastings St, Vancouver, BC V6E 2E9",ca
Lion One Metals,TSX-Venture/OTCQX/Sydney ASX,LIO/LOMLF/LLO,1.65 CDN,"267 W Esplanade, North Vancouver, BC V7M 1A5",ca
Lomiko Metals Inc.,TSX-Venture/OTCQX,LMR/LMRMF,0.04 CDN,"7184 120th St, Surrey, BC V3W 0M6",ca
Longland Resources Ltd,,,,"12 Old Mills Industrial Estate, Paulton, Bristol, England, BS39 7SU",gb
"Lumina Group, The",TSX-Venture/OTCQX,LUM/LMGDF,0.07 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Lundin Group,,,,"885 W Georgia St, Vancouver, BC V6C 3E8",ca
Mako Mining Corp.,TSX-Venture/OTCQX,MKO/MAKOF,0.39 CDN,"595 Burrard St, Vancouver, BC V7X 1K8",ca
MANAGEM Group,CSE ,MNG,"851,50 MAD","Boulevard Al Massira Al Khadra, Casablanca 20100",ma
Mandalay Resources Corp.,TSE ,MND,1.00 CDN,"76 Richmond St E, Toronto, ON M5C 1P1",ca
Manex Resource Group Inc.,,,,"1199 W Hastings St, Vancouver, BC V6E 3T5",ca
Manganese X Energy Corp.,TSX-Venture/FWBF,MN/9SC2,0.10 CDN,"145 Rue Graveline, Saint-Laurent QC H4T 1R3",ca
Manitou Gold Inc.,TSX-Venture,MTU,0.06 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
Marathon Gold Corporation,TSE/OTCQX,MOZ/MGDPF,1.56 CDN,"10 King St E, Toronto, ON M5C 1C3",ca
Market Making Services Inc.,,,,,
Mawson Resources Limited,TSE/FSE/PK,MAW/MXR/MWSNF,0.28 CDN,"1090 W Georgia St, Vancouver, BC V6E 3V7",ca
Maya Gold & Silver Inc.,TSE ,MYA,1.80 CDN,"1250 René Lévesque, Montreal, QC H3B 4W8 ",ca
McEwen Mining Inc.,TSE ,MUX,1.46 CDN,"150 King St W, Toronto, ON M5H 1J9",ca
MegumaGold,CNSX/OTCMKTS/FWB,NSAU/NSAUF/2CM2,0.15 CDN,"1550 Bedford Hwy, Bedford, NS B4A 1E6",ca
Meridian Credit Union,,,,,
Metallic Group of Companies,See companies ,,,"409 Granville St, Vancouver, BC V6C 1T2",ca
Metals Creek Resources Corp.,TSX-Venture,MEK,0.06 CDN,"945 Cobalt Crescent, Thunder Bay, ON P7B 5Z4",ca
Metals Group Inc.,See companies ,,,"Edmonton, AB",ca
Midas Gold Corp.,TSE,MAX,0.57 CDN,"999 W Hastings St, Vancouver, BC V6C 2W2",ca
Midland Exploration Inc.,TSX-Venture,MD ,0.80 CDN,"1 Place Ville Marie, Montréal, QC H3B 4M4",ca
Millennial Lithium Corp.,TSX-Venture/OTCQB/Frankfurt,ML/MLNLF/A3N2,1.48 CDN,"1177 W Hastings St, Vancouver, BC V6E 2K3",ca
Minaurum Gold Inc.,TSX-Venture/OTCQX/Frankfurt ,MGG/MMRGF/78M,0.47 CDN,"1177 W Hastings St, Vancouver, BC V6E 2K3",ca
Minera Alamos Inc.,TSX-Venture,MAI,0.27 CDN,"55 York St, Toronto, ON M5J 1R7",ca
Minera Tres Valles,TSE (Sprott),SRHI  ,0.69 CDN,"Avenida Apoquindo 4775, Las Condes, Región Metropolitana",cl
Mineral Mountain Resources Ltd.,TSX-Venture,MMV,0.37 CDN,"1195 W Broadway, Vancouver, BC V6H 3X5",ca
Mira Stone Ltd,,,,Istanbul,tr
Mirasol Resources Ltd.,TSX-Venture,MRZ ,0.50 CDN,"355 Burrard St, Vancouver BC V6C 2G8",ca
Mississauga Mining,,,,Douala,cm
Mkango Resources,TSX-Venture/London,MKA,0.12 CDN,"550 Burrard St, Vancouver, BC V6C 0A3",ca
Monarques Gold Corporation,TSX-Venture/RF,MQR,0.18 CDN,"68 Ave de la Gare, Saint-Sauveur, QC J0R 1R0",ca
Moneta Porcupine Mines Inc.,TSE,ME,0.12 CDN,"65 3rd Ave Timmins, ON P4N 1C2",ca
Montero Mining & Exploration Ltd.,TSX-Venture,MON,0.02 CDN,"1040 W Georgia St, Vancouver, BC V6E 4H3",ca
Monument Mining Limited,TSX-Venture/FSE,MMY/D7Q1,0.04 CDN,"1100 Melville St, Vancouver, BC V6E 4A6",ca
"Morefield Gem Mine, Inc.",,,,"13400 Butlers Rd, Amelia Court House, VA 23002",us
Morien Resources Corp.,TSX-Venture,MOX,0.61 CDN,"1701 Hollis St, Halifax, NS B3J 3M8",ca
Morocota Gold SAS,https://www.emis.com/php/company-profile/CO/Morocota_Gold_SAS_en_3522586.html,,,"Carrera 30 #10 Medellín, Antioquia",co
Moydow Resources Limited,,,,"20 Toronto St, Toronto, ON M5C 2B8",ca
Mundoro Capital Inc.,TSX-Venture ,MUN,0.16 CDN,"1040 W Georgia St, Vancouver, BC V6E 4H1",ca
Murchison Minerals Ltd.,TSX-Venture ,MUR ,0.13 CDN,"120 Adelaide St W, Toronto, ON M5H 1P9",ca
Neo Lithium Corp.,TSX-Venture/OTCQX/FSE,NLC/NTTHF0/NE,0.79 CDN,"401 Bay St, Toronto, ON M5H 2Y4",ca
Nevada Copper Corp.,TSE,NCU,0.31 CDN,"100 W Liberty St, Reno, NV 89501",us
Nevada Exploration Inc.,TSX-Venture/OTCQB,NGE/NVDEF  ,0.33 CDN,"885 W Georgia St, Vancouver, BC V6C 3E8",ca
New Age Metals,,,,"59 Burtch's Lane, Rockport, ON K0E 1V0",ca
New Found Gold Corp,See Parents ,,,"69 Yonge St, Toronto, ON M5E 1K3",ca
New Gold Inc.,TSE/NYSE,NGD ,1.11 CDN,"181 Bay St, Toronto, ON M5J 2T3",ca
New Pacific Metals Corp.,TSX-Venture/OTCQX,NUAG/NUPMF,5.74 CDN,"1066 W Hastings St, Vancouver, BC V6E 3X1",ca
Newcrest Mining Ltd.,Sydney (ASX),NCM ,28.99 AUS,"600 St Kilda Rd, Melbourne VIC 3004",au
Newmont Corporation,TSE/NYSE,NGT/NEM ,58.52 CDN,"6363 South Fiddler’s Green Circle, Greenwood Village, CO 80111",us
Newrange Gold Corp.,TSX-Venture/OTC,NRG/NRGOF,0.13 CDN,"580 Hornby St, Vancouver, BC V6C 3B6",ca
Nexa Resources S.A.,TSE/NYSE,NEXA,10.46 CDN,"37A Ave J-F Kennedy, 1855 Luxembourg",lu
Nicola Mining Inc.,TSX-Venture,NIM ,0.10 CDN,"355 Burrard St, Vancouver, BC V6C 2G8",ca
NioBay Metals Inc.,TSX-Venture,NBY,0.40 CDN,"1111 St Charles W, Longueuil, QC J4K 5G4",ca
Noront Resources Ltd.,TSX-Venture,NOT,0.17 CDN,"212 King St W, Toronto, ON M5H 1K5",ca
North Arrow Minerals Inc.,TSX-Venture,NAR ,0.05 CDN,"789 West Pender St, Vancouver, BC V6C 1H2",ca
Northern Dynasty Minerals Ltd.,TSE/NYSE,NDM/NAK,0.57 CDN,"1040 W Georgia St, Vancouver, BC V6E 4H1",ca
Northern Graphite Corporation,TSX-Venture,NGC,0.15 CDN,"290 Picton Ave, Ottawa, ON K1Z 8P8",ca
Northern Shield Resources Inc.,TSX-Venture,NRN,0.09 CDN,"55 Metcalfe St, Ottawa, ON K1P 6L5",ca
Northern Superior Resources Inc.,TSX-Venture,SUP,0.19 CDN,"1351 C Kelly Lake Rd, Sudbury, ON P3E 5P5",ca
Northern Vertex Mining Corp.,TSX-Venture/OTC-Nasdaq,NEE/NHVCF,0.26 CDN,"1075 W Georgia St, Vancouver BC V6E 3C9",ca
Northstar Gold Corp.,CSE,NSG ,0.30 CDN,"17 Wellington St N, New Liskeard, ON P0J 1P0",ca
NorZinc Ltd,TSE,NZC,0.08 CDN,"650 W Georgia St, Vancouver, BC V6B 4N9",ca
Nouveau Monde Graphite,TSX-Venture,NOU,0.24 CDN,"331 Rue Brassard, Saint-Michel-des-Saints,  QC, J0K 3B0",ca
Novagold Resources Inc.,TSE/NYSE,NG,11.62 CDN,"400 Burrard St, Vancouver, BC V6C 3A6",ca
OceanaGold Corporation,TSE,OGC,2.47 CDN,"357 Collins St, Melbourne VIC 3000",au
Olivut Resources Ltd.,TSX-Venture,OLV,0.05 CDN,"Hinton, AB T7V 1X8",ca
Opus One Resources Inc.,TSX-Venture,OOR ,0.05 CDN,"4710 Saint-Ambroise St, Montreal, QC H4C 2C7",ca
Orefinders Resources Inc.,TSX-Venture,ORX ,0.05 CDN,"55 University Ave, Toronto, ON M5J 2H7",ca
Orestone Mining Corp,TSX-Venture/OTC,ORS/ORSF,0.11 CDN,"325 Howe St Vancouver, BC V6C 1Z7",ca
Orezone Gold Corporation,TSX-Venture,ORE,0.44 CDN,"1111 Melville St Vancouver, BC V6E 3V6",ca
Orford Mining Corp.,TSX-Venture,ORM,0.04  CDN,"141 Adelaide St W, Toronto, ON M5H 3L5",ca
Orla Mining Ltd.,TSE,OLA ,2.43 CDN,"595 Howe St, Vancouver, BC V6C 2T5",ca
Oro Verde Limited,Sydney (ASX),OVL,0.008 AUS,"34 Colin St, West Perth WA 6005",au
Orsu Metals Corporation,TSX-Venture,OSU ,0.22 CDN,"Palm Grove House, Wickhams Clay Road Town, Tortola",vg
Orvana Minerals Corp.,TSE,ORV ,0.24 CDN,"70 York St, Toronto, ON M5J 1S9",ca
Osino Resources Corp.,TSX-Venture/FSE,OSI/R2R1,0.82 CDN,"789 West Pender St, Vancouver, BC V6C 1H2",ca
Osisko Gold Royalties Ltd.,TSE/NYSE,OR,12.80 CDN,"1100 Ave des Canadiens-de-Montreal, Montreal, QC H3B 2S2",ca
Osisko Metals Incorporated,TSE,OM ,0.51 CDN,"100 Ave des Canadiens-de-Montreal, Montreal, QC H3B 2S2",ca
OTC Markets Group,OTCMKTS,OTCM ,34.55 USD,"300 Vesey St, New York, NY 10282",us
Otso Gold Corp.,TSX-Venture,OTSO ,0.08 CDN,"161 Bay St, Toronto, ON M5J 2S1",ca
Pacific Empire Minerals Corp.,TSX-Venture/OTCQB,PEMC/PEMSF,0.05 CDN,"850 W Hastings St, Vancouver, BC V6C 1E1",ca
Pacific Trends Resources Pty Ltd,,,,"19-23 Clarinda Rd, Oakleigh South, VIC 3167",au
Pacton Gold Inc.,TSX-Venture/OTC,PAC/PACXF,0.10 CDN,"200 Burrard St, Vancouver, BC V6C 3L6",ca
Palamina Corp.,TSX-Venture/OTC,PA/PLMNF,0.22 CDN,"145 King St W, Toronto, ON M5H 1J8",ca
Palladium One,TSX-Venture/OTC/Frankfurt,PDM/NKORF/7N11,0.17 CDN,"800 West Pender St, Vancouver, BC V6C 2V6",ca
Pancontinental Resources Corporation,TSX-Venture,PUC,0.05 CDN,"217 Queen St W, Toronto, ON M5V 0R2",ca
Panda Mining Pty Ltd,,,,"North Fremantle, WA 6159",au
Panoro Minerals Ltd.,TSX-Venture/BVL/Borse/OTC,PML/PML/PZN/POROF,0.08 CDN,"700 West Pender St, Vancouver, BC V6C 1G8",ca
Panthera Resources Plc,London (AIM) ,PAT,5.00 GBX,"2 Duke St, Marylebone, London, UK W1U 3EH",gb
Patagonia Exploracion S.A.,,,,,
Pavey Ark Minerals Inc.,,,,,
Peel Mining Ltd.,Sydney (ASX),PEX ,0.23 AUS,"1/34 Kings Park Rd, West Perth, WA 6005",au
Pelangio Exploration Inc.,TSX-Venture,PX,0.14 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
Peloton Minerals Corporation,CSE/OTCQB,PMC/PMCC,0.09 CDN,"380 Wellington St, London, ON N6A 5B5",ca
Plateau Energy Metals Inc.,TSX-Venture/OTCQB,PLU/PLUUF,0.27 CDN,"141 Adelaide St W, Toronto, ON, M5H 3L5",ca
Playfair Mining Ltd.,TSX-Venture,PLY ,0.03 CDN,"470 Granville St, Vancouver, BC V6C 1V5",ca
PolyMet Mining Corp.,TSE/NYSE,POM/PLM,0.36 CDN,"100 King St W, Toronto, ON M5X 1C7",ca
Portofino Resources Inc.,TSX-Venture/FSE,POR/POT,0.04 CDN,"470 Granville St, Vancouver, BC V6C 1V5",ca
Power Ore Inc.,TSX-Venture,PORE,0.06 CDN,"55 University Ave, Toronto, ON M5J 2H7",ca
PPX Mining Corp.,,,,,
Premier Gold Mines Limited,TSE,PG,1.52 CDN,"1100 Russell St, Thunder Bay, ON P7B 5N2",ca
Privateer Gold,See: TSX TR,,,,
Probe Metals Inc.,TSX-Venture,PRB ,1.17 CDN,"56 Temperance St, Toronto, ON M5H 3V5",ca
Prolific Mining Corp.,,,,,
Prophecy Development Corp.,TSE/OTC/Frankfurt,PCY/PRPCF/1P2N,0.26 CDN,"409 Granville St, Vancouver BC V6C 1T2",ca
Pucara Resources,"According to Mr. Zuker, Pucara plans to go public in Toronto on the TSX, and they have some pretty significant shareholders, like Resource Capital Funds, Sandstorm Gold Ltd, and Alamos Gold Inc http://www.metalsnews.com/Metals+News/MetalsNews/Allen+Alper+Jr.,+President,+Metals+News+Inc./FEATURED1265635/Interview+with+Steve+Zuker+President++CEO+of+Pucara+Resources+MultiMillionOunce+Gold+Targets+in+Peru.htm",,,"1040 W Georgia St, Vancouver, BC V6E 4H1",ca
Pure Gold Mining,TSX-Venture,PGM ,0.77 CDN,"1055 W Hastings St, Vancouver, BC V6E 2E9",ca
Purepoint Uranium Group Inc.,TSX-Venture,PTU ,0.05 CDN,"120 Adelaide St W, Toronto, ON M5H 1T1",ca
QMX Gold Corporation,TSE/Frankfurt,QMX/OU2A,0.11 CDN,"65 Queen St W, Toronto, ON M5H 2M5",ca
Quaterra Resources Inc.,TSX-Venture/OTCQB,QTA/QTRRF,0.06 CDN,"1199 W Hastings St, Vancouver, BC V6E 3T5",ca
Radisson Mining Resources Inc.,TSX-Venture,RDS,0.19 CDN,"700 Ave Dallaire, Rouyn-Noranda, QC J9X 4V9",ca
Red Cloud Securities Inc.,,,,"105 King St E, Toronto ON M5C 1G6",ca
Red Metal Resources Ltd.,OTCMKTS,RMES,0.10 CDN,"278 Bay St, Thunder Bay, ON P7B 1R8",ca
Red Pine Exploration Inc.,TSX-Venture,RPX ,0.04 CDN,"145 Wellington St W, Toronto, ON M5J 1H8",ca
Redstar Gold Corp.,TSX-Venture/OTC,RGC/RGCTF,0.03 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Refinitiv,,,,"5 Canada Square, London, UK E14 5AQ",gb
Regulus Resources Inc.,TSX-Venture,REG,1.10 CDN,"1177 W Hastings St, Vancouver, BC V6E 2K3",ca
Renaissance Gold Inc.,TSX-Venture/OTCQB,REN/RNSGF,0.33 CDN,"4750 Longley Ln, Reno, NV 89502",us
Renforth Resources Inc.,CSE,RFR ,0.04 CDN,"1099 Kingston Rd, Pickering, ON L1V 1B5",ca
Resource Capital Funds,,,,"25 York St, Toronto ON MSJ 2V5",ca
Reunion Gold Corporation,TSX-Venture,RGD,0.10 CDN,"1111 St Charles St W, Longueuil, QC J4K 5G4",ca
Revelo Resources Corp.,TSX-Venture,RVL ,0.01 CDN,"543 Granville St, Vancouver, BC V6C 1X8",ca
Revival Gold Inc.,TSX-Venture/OTCQB,RVG/RVLGF,0.83 CDN,"145 King St W, Toronto, ON M5H 1J8",ca
Richardson GMP - Alexandra Horwood,,,,"145 King St W, Toronto, ON M5H 1J8",ca
Rio Tinto,Sydney (ASX),RIO,97.50 AUS,"6 St James's Square, London, UK SW1Y 4AD",gb
Riverside Resources Inc.,TSX-Venture/OTCQB,RRI/RVSDF ,0.14 CDN,"800 W Pender St, Vancouver BC V6C 2V6",ca
RJK Explorations Ltd.,TSX-Venture/OTC,RJX.A/RJKAF,0.24 CDN,"Kirkland Lake, ON, P2N 3L1",ca
RNC Minerals,TSE/OTCQX,RNX/RNKLF,0.44 CDN,"141 Adelaide St W, Toronto, ON M5H 3L5",ca
Rockcliff Metals Corporation,CSE,RCLF ,0.07 CDN,"141 Adelaide St W, Toronto, ON M5H 3L5",ca
ROKMASTER Resources Corp.,TSX-Venture/OTC:Pink/Frankfurt,RKR/RKMSF/1RR,0.08 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Romios Gold Resources Inc.,TSX-Venture/OTCPK/Frankfurt,RG/RMIOF/D4R,0.04 CDN,"2 Toronto St, Toronto, ON M5C 2B6",ca
Roscan Gold Corporation,TSX-Venture,ROS,0.15 CDN,"1550 Bedford Hwy, Bedford, NS B4A 1E6",ca
Roxgold Inc.,TSE/OTCQX,ROXG/ROGFF,0.95 CDN,"360 Bay St, Toronto, ON M5H 2V6",ca
Royal Canadian Mint,,,,"320 Sussex Dr, Ottawa, ON K1A 0G8",ca
Royal Road Minerals,TSX-Venture,RYR ,0.23 CDN,"4 Wharf St, St Helier, Jersey JE2 3NR",je
Rugby Mining Limited,TSX-Venture,RUG,0.12 CDN,"789 West Pender St, Vancouver, BC V6C 1H2",ca
S2 Resources Ltd.,Sydney (ASX),S2R ,0.10 AUS,"4/24 Parkland Road, Osborne Park, WA 6017",au
Sabina Gold & Silver Corp.,TSE,SBB ,1.72 CDN,"555 Burrard St, Vancouver, BC V7X 1M9",ca
Salazar Resources Limited,TSX-Venture/FSE,SRL/CCG,0.23 CDN,"1090 W Georgia St, Vancouver, BC V6E 3V7",ca
Sandstorm Gold Royalties,TSE/NYSE,SSL/SAND,9.21 CDN,"400 Burrard St, Vancouver, BC V6C 3A6",ca
Sayona Mining Limited,Sydney (ASX),SYA ,0.01 AUS,"283 Given Terrace, Paddington QLD 4064",au
ScoZinc Mining Ltd.,TSX-Venture,SZM ,0.60 CDN,"1959 Upper Water St, Halifax, NS B3J 3N2",ca
Searchlight Resources Inc.,TSX-Venture,SCLT ,0.04 CDN,"1199 West Pender St, Vancouver, BC V6E 2R1",ca
SEMAFO Inc.,TSE,SMF ,3.29 CDN,"100 Boulevard Alexis-Nihon, Saint-Laurent, QC H4M 2P3",ca
Serabi Gold plc,London (AIM)/TSE/ ,SRB/SBI,86.75 GBX,"30-32 Ludgate Hill, London, UK EC4M 7DR",gb
Serengeti Resources Inc.,TSX-Venture,SIR,0.22 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
Sherritt International Corporation,TSE,S,0.17 CDN,"22 Adelaide St W, Toronto, ON M5H 4E3",ca
Sidex,,,,"360 Rue Saint-Jacques, Montréal, QC H2Y 1P5",ca
Sierra Metals Inc.,TSE/NYSE,SMT/SMTS,2.00  CDN,"161 Bay St, Toronto, ON M5J 2S1",ca
Silver Bear Resources Plc.,TSE,SBR ,0.14 CDN,"45 King William St, London, UK EC4R 9AN",gb
Silver One Resources,TSX-Venture/OTC/FSE,SVE/SLVRF/BRK1,0.35 CDN,"1040 W Georgia St, Vancouver, BC V6E 4H1",ca
Silvercorp Metals Inc.,TSE/NYSE,SVM,5.50 CDN,"1066 W Hastings St, Vancouver, BC V6E 3X1",ca
SilverCrest Metals Inc.,TSE/NYSE,SIL ,8.86 CDN,"570 Granville St, Vancouver, BC V6C 3P1",ca
Sirios Resources Inc.,TSX-Venture,SOI ,0.15 CDN,"1000 St-Antoine O, Montréal, QC H3C 3R7",ca
Sitka Gold Corp,CSE/FSE,SIG/1RF,0.23 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Skeena Resources Ltd.,TSX-Venture/OTCQX/FRA,SKE/SKREF/RXFB,1.08 CDN,"1021 W Hastings St, Vancouver, BC V6E 0C3",ca
Skyharbour Resources Ltd.,TSX-Venture/OTCQB/Frankfurt,SYH/SYH/SYHBF/SC1P,0.17 CDN,"777 Dunsmuir St, Vancouver, BC V7Y 1K4",ca
Sokoman Minerals Corp.,TSX-Venture,SIC ,0.11 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
SolGold,TSE/LSE,SOLG ,0.35 CDN,"111 Eagle St, Brisbane, QLD 4000",au
Solitario Zinc Corp.,TSE/NYSE,SLR/XPL,0.42 CDN,"4251 Kipling St, Wheat Ridge, CO 80033",us
Sonoro Metals Corp.,TSX-Venture/OTCQB/FRA,SMO/SMOFF/23SP,0.14 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
South32 Limited,Sydney (ASX),S32,2.63 AUS,"108 St Georges Terrace, Perth, WA 6000",au
SPC Metals,TSX-Venture ,"XTM (Transition Metals, Parent) ",0.18 CDN,"410 Falconbridge Road, Sudbury, ON P3A 4S4",ca
Sphinx Resources Ltd.,TSX-Venture ,SFX,0.02 CDN,"1000 De La Gauchetière O, Montreal, QC H3B 4W5",ca
Spirit Mining LLC,,,,"1104 20th Ave, Menominee, MI 49858",us
Sprott Group of Companies,TSE,SII,3.05 CDN,"200 Bay St, Toronto, ON M5J 2J1",ca
SQM,NYSE,SQM,31.05 USD,"El Trovador 4285, Las Condes, Región Metropolitana",cl
Star Diamond Corporation,TSX-Venture ,DIAM,0.45 CDN,"224 4th Ave S, Saskatoon, SK S7K 5M5",ca
Starcore International Mines Ltd.,TSE/FK,SAM/V4JA,0.12 CDN,"580 Hornby St, Vancouver, BC V6C 3B6",ca
Steppe Gold Limited,TSE/FWB,STGO/2J9,0.91 CDN,"Shangri-La, Olympic St 19A, Sukhbaatar District 1, Ulaanbaatar 14241",mn
Stratabound Minerals Corp.,TSX-Venture ,SB ,0.08 CDN,"100 King St W, Toronto, ON M5X 1C7",ca
Strategic Exploration Group,See companies ,,,"510 W Hastings St, Vancouver, BC V6B 1L8",ca
Strongbow Exploration Inc.,TSX-Venture,SBW,0.05 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Stuhini Exploration Ltd.,TSX-Venture ,STU ,0.30  CDN,"1245 W Broadway, Vancouver, BC V6H 1G7",ca
Sun Peak Metals,,,,"15782 Marine Dr, White Rock, BC V4B 1E6",ca
Talisker Resources,CSE,TSK,0.41 CDN,"100 King St W, Toronto, ON M5X 1A0",ca
Talmora Diamond Inc.,CSE,TAI-CN,0.02 CDN,"6 Willowood Ct, Toronto, ON M2J 2M3",ca
Talon Metals Corp.,TSE,TLO ,0.12 CDN,"Craigmuir Chambers Road Town, Tortola VG1110",vg
Teck Resources Limited,TSE,TECK.A,19.90 CDN,"550 Burrard St, Vancouver, BC V6C 0B3",ca
Tectonic Metals Inc.,TSX-Venture,TECT,0.23 CDN,"744 W Hastings St, Vancouver, BC V6C 1A5",ca
Telson Mining Corporation,TSX-Venture,TSN,0.11 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Tempus Resources Limited,Sydney (ASX),TMR,0.21 AUS,"22 Mount St, Perth, WA 6000",au
Teranga Gold Corporation,TSE/OTCQX,TGZ/TGCDF,7.66 CDN,"77 King St W, Toronto, ON M5K 2A1",ca
Tethyan Resource Corp.,TSX-Venture,TETH ,0.16 CDN,"999 Canada Place, Vancouver, BC V6C 3E1",ca
Timberline Resources Corporation,TSX-Venture/OTCQB,TBR/TLRS,0.10 CDN,"101 E Lakeside Dr, Coeur d’Alene, ID 83814",us
Tinka Resources Limited,TSX-Venture,TK ,0.18 CDN,"1090 W Georgia St, Vancouver, BC V6E 3V7",ca
Toronto Stock Exchange,TMX ,X,117.10 CDN,"100 Adelaide St W, Toronto, ON M5H 1S3",ca
Transition Metals Corp.,TSX-Venture,XTM ,0.18 CDN,"410 Falconbridge Rd, Sudbury, ON P3A 4S4",ca
Treasury Metals Inc.,TSX-Venture,TML,0. 26 CDN,"130 King St W, Toronto, ON M5X 1B1",ca
Tres-Or Resources Ltd.,TSX-Venture,TRS,0.09 CDN,"1934 131 St White Rock, BC V4A 7R7",ca
Trevali Mining Corporation,TSX-Venture,TV,0.17 CDN (low for production...?),"999 West Hastings St, Vancouver, BC V6C 2W2",ca
Tri Origin Exploration Ltd.,TSX-Venture,TOE ,0.02 CDN,"125 Don Hillock Dr, Aurora, ON L4G 0H8",ca
Trilogy Metals Inc.,TSE/NYSE,TMQ,2.69 CDN,"609 Granville St, Vancouver, BC V7Y 1G5",ca
TriStar Gold Inc.,TSX-Venture/OTCQB,TSG/TSGZF,0.32 CDN,"7950 East Acoma Dr, Scottsdale, AZ 85260",us
Triumph Gold Corp.,TSX-Venture/OTC/Frankfurt ,TIG/TIGCF/8N61,0.23 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Troilus Gold Corp.,TSX-Venture/OTCQB,TLG/CHXMF,0.76 CDN,"36 Lombard St, Toronto, ON M5C 2X3",ca
Tudor Gold Corp.,TSX-Venture/Frankfurt,TUD/TUC.F,0.61 CDN,"837 W Hastings St, Vancouver, BC V6C 3N6",ca
Ubique Minerals Ltd.,CSE/OTCMKTS,UBQ/GRNBF,0.05 CDN,"100 King St W, Toronto, ON M5X 1C7",ca
Ucore Rare Metals Inc.,TSX-Venture/OTCQX/FSE,UCU/UURAF/U9U ,0.20 CDN,"210 Waterfront Dr,  Bedford, NS B4A 0H3",ca
UEX Corporation,TSX-Venture,UEX ,0.12 CDN,"3530 Millar Ave, Saskatoon, SK S7P 0B6",ca
Unigold Inc.,TSX-Venture,UGD,0.20 CDN,"141 Adelaide St W, Toronto, Ontario M5H 3L5",ca
Uranium Energy Corp.,NYSE,UEC,0.89 USD,"500 N Shoreline Blvd, Corpus Christi, TX 78401",us
Ur-Energy Inc.,TSE/NYSE,URE/URG,0.71 CDN,"10758 W Centennial Road, Littleton, CO 80127",us
Vale Canada Limited,NYSE,VALE ,12.10 USD,"Praia de Botafogo, 186 - Botafogo, Rio de Janeiro, 22250-040",br
Valoriza Mineria SL,See Sycre?,/,/,"Avenida del Partenón, 16-18, 28042 Madrid",es
Vanadium One Iron Corp.,,,,"110 Yonge St, Toronto, ON M5C 1T4",ca
VanadiumCorp Resource Inc.,TSX-Venture,VRB ,0.05 CDN,"1505 W 2nd, Vancouver, BC V6H 3Y4",ca
Velocity Minerals Ltd.,TSX-Venture,VLC ,0.44 CDN,"1177 W Hastings St, Vancouver, BC V6E 2K3",ca
Victory Nickel Inc.,CSE,NI ,0.03 CDN,"80 Richmond St W, Toronto, ON M5H 2A4",ca
Vior Inc.,TSX-Venture,VIO ,0.10 CDN,"1801 McGill College Ave, Montreal, QC H3A 2N4",ca
Vista Energy Resources,,,,"61 McMurray Road, Pittsburgh, PA 15241",us
Vista Gold Corp.,TSE/NYSE,VGZ,0.92 CDN,"7961 Shaffer Parkway, Littleton, CO 80127",us
Viva Gold Corp.,TSX-Venture/OTCBB/Frankfurt,VAU/VAUCF/7PB,0.23 CDN,"8047 199 St, Langley, BC V2Y 0E2",ca
Vizsla Resources Corp.,TSX-Venture,VZLA,0.69 CDN,"1030 West Georgia St, Vancouver, BC V6E 2Y3",ca
VR Resources Ltd.,TSX-Venture/OTC/Frankfurt,VRR/VRRCF/5VR,0.35 CDN,"700 West Pender St, Vancouver, BC V6C 1G8",ca
Vulcan Minerals Inc.,TSX-Venture,VUL ,0.05 CDN,"333 Duckworth St St John's, NL A1C 1G9",ca
Wallbridge Mining Company Limited,TSX-Venture,WM ,0.89 CDN,129 Fielding Road Lively ON P3Y 1L7,ca
WCPD Inc.,,,,"353 Dalhousie St, Ottawa, ON K1N 7G1",ca
