name,exchange,symbol,stock,add,country
Azure Minerals Limited,Sydney (ASX),AZS,0.14 AUS,"34 Colin St, West Perth, WA 6005",au
B2Gold Corp.,TSE/NYSE,BTO/BTG ,5.33 CDN ,"595 Burrard St, Vancouver,  BC V7X 1L7",ca
Balmoral Resources Ltd.,TSE/OTCQX,BAR/BALMF,0.34 CDN ,"700 W Pender St, Vancouver, BC V6C 1G8",ca
Banyan Gold Corp.,TSX Venture,BYN ,0.07CDN ,"1050 W Pender St, Vancouver, BC V6E 3S7",ca
Barrian Mining Corp,TSX Venture/OTCQB/FSE,BARI/BARRF/BM5,0.13 CDN ,"815 Hornby St, Vancouver, BC V6Z 2E6",ca
Barrick Gold Corporation,TSE/NYSE,ABX/GOLD,23.60 CDN,"161 Bay St, Toronto, ON M5J 2S1",ca
BeMetals Corp.,TSX Venture,BMET,0.22 CDN,"595 Burrard St, Vancouver, BC V7X 1J1",ca
Benton Resources Inc.,TSX Venture,BEX,0.05 CDN,"684 Squier St Thunder Bay, ON P7B 4A8",ca
BHP,London (AIM) ,BHP,1.851.60 GBX,"171 Collins St, Melbourne, VIC 3000",au
BlackRock Gold Corp.,TSX Venture/OTC/FSE,BRC/BKRRF/AHZ,0.16 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Blackstone Minerals Ltd,Sydney (ASX),BSX,0.17 AUS,"24 Outram St, West Perth, WA, 6005",au
Blind Creek Resources Ltd.,TSX Venture,BCK ,0.04 CDN,"750 W Pender St, Vancouver, BC V6C 2T7",ca
Blue Star Gold Corp.,TSX Venture,BAU ,0.05 CDN,"595 Howe St, Vancouver, BC V6C 2T5",ca
Blue Thunder Mining Corp,Amalgamation and TSX-V listing are in progress and expected to close by the end of January 2020,,,"105 King St E, Toronto, ON M5C 1G6",ca
BONTERRA Resources Inc.,TSX Venture/OTCMKTS,BRT/BONFX,1.72 CDN,"1055 W Georgia St, Vancouver, BC VE6 4N7",ca
Braveheart Resources Inc.,TSX Venture/OTCQB,BHT/RIINF,0.13 CDN,"2520 16 St NW, Calgary, AB T2M 3R2",ca
Breaker Resources NL,Sydney (ASX),BRB ,0.28 CDN,"12 Walker Ave, West Perth, WA 6005",au
Brixton Metals Corporation,TSX Venture,BBB,0.17 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
BTU Metals Corp.,,,,,
Buchans Resources Ltd.,,,,"55 University Ave, Toronto, ON M5J 2H7",ca
BWR Exploration Inc.,TSX Venture,BWR,0.05 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
Cabral Gold Ltd.,TSX Venture,CBGZF,0.10 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Callinex Mines Inc.,TSX Venture/OTCQB,CNX/CLLXF,0.81 CDN,"555 W Hastings St, Vancouver, BC V6B 4N6",ca
Canada Nickel Company,,,,"120 Adelaide St W, Toronto, ON M5H 1T1",ca
Canadian Securities Exchange,,,,"100 King St W, Toronto, ON M5X 1E1",ca
CanAlaska Uranium Ltd.,TSX Venture/OTC/FWB,CVV/CVVUF/DH7N,0.22 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Canarc Resource Corp.,TSE/OTCQB/Frankfurt,CCM/CRCUF/CAN,0.06 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Candente Copper Corp.,TSE,DNT ,0.04 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Cantex Mine Development Corp,,,,,
Cardinal Resources Ltd.,TSE/Sydney (ASX),CDV,0.36 CDN,"28 Ord St, West Perth, WA 6005",au
Carube Copper Corp.,TSX-Venture ,CUC,0.06 CDN,"133 Richmond St W, Toronto, ON M5H 2L3",ca
Centaurus Metals Ltd,Sydney (ASX),CTM,0.01 AUS,"10 Outram St, West Perth WA 6005",au
Centerra Gold Inc.,TSE ,CG,9.40 CDN ,"1 University Ave, Toronto, ON M5J 2P1",ca
Century Global Commodities Corporation,TSX-Venture ,CNT,0.09 CDN ,"200 University Ave, Toronto, ON M5H 3C6",ca
Cerro de Pasco Resources Inc.,CSE,CDPR,0.49 CDN,"22 Avenue Lafleur, Saint-Sauveur, Quebec J0R 1R0",ca
Chakana Copper Corporation,TSX-Venture /OTCQB/FRA,PERU/CHKK/1ZX,0.18 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
Chesapeake Gold Corporation,TSX-Venture ,CKG,3.05 CDN,"1512 Yew St, Vancouver, BC V6K 3E4",ca
China Gold International Resources Corp. Ltd.,TSE,CGG,1.15 CDN,"505 Burrard St, Vancouver, BC V7X 1M4",ca
Clean Air Metals Inc,TSX-Venture ,RUA:H,0.13CDN (Presently Regency Gold Corp),"1004 Alloy Dr, Thunder Bay, ON P7B 6V1",ca
Columbus Gold Corp.,TSE/OTCQB,CGT/CGTFF,0.17 CDN,"1090 Hamilton St, Vancouver, BC V6B 2R9",ca
Commander Resources Ltd.,TSX-Venture ,CMD,0.07 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Commerce Resources Corp.,TSX-Venture/FSE/OTCQX,CCE/D7H/CMRZF,0.30 CDN,"789 W Pender St, Vancouver, BC V6C 1H2",ca
Condor Gold Plc,TSE,COG ,0.40 CDN,"7/8 Innovation Place, Douglas Dr, Godalming, UK GU7 1JX",gb
Conroy Gold and Natural Resources plc,London (AIM) ,CGNR,8.72 GBX,"3300 Lake Dr, Dublin D24 TD21",ie
Constantine Metal Resources Ltd.,TSX-Venture/OTCQX,CEM/CNSNF,0.23 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
Consulting & Mining Sevices SRL,,,,"Jiron Tinajones 177, Santiago de Surco 15038",pe
Continental Gold Inc.,TSE ,CNL,5.46 CDN,"155 Wellington St W, Toronto, ON M5V 3H1",ca
