name,commodity
Ivanhoe Mines,PGM
Longland Resources Ltd,PGM
Metallic Group of Companies,PGM
Midland Exploration Inc.,PGM
New Age Metals,PGM
Noront Resources Ltd.,PGM
Northern Shield Resources Inc.,PGM
Orford Mining Corp.,PGM
Pavey Ark Minerals Inc.,PGM
PolyMet Mining Corp.,PGM
Rio Tinto,PGM
SPC Metals,PGM
Transition Metals Corp.,PGM
Wallbridge Mining Company Limited,PGM
Yukon Mining Alliance,PGM
Appia Energy Corp.,REE & electric metals
Ardiden Limited,REE & electric metals
Aurum Discovery,REE & electric metals
Avalon Advanced Materials Inc.,REE & electric metals
Canada Nickel Company,REE & electric metals
Commerce Resources Corp.,REE & electric metals
Critical Elements Corporation,REE & electric metals
Eagle Plains Resources Ltd.,REE & electric metals
Earthmetrix Inc.,REE & electric metals
Endurance Gold Corp,REE & electric metals
Energy Fuels Inc.,REE & electric metals
Exiro Minerals Corp.,REE & electric metals
Focus Graphite Inc.,REE & electric metals
Fortune Minerals Limited,REE & electric metals
Forum Energy Metals Corp.,REE & electric metals
Frontier Lithium Inc.,REE & electric metals
Geomega Resources Inc.,REE & electric metals
Geophysx Jamaica Ltd,REE & electric metals
Globex Mining Enterprises Inc.,REE & electric metals
Go Metals Corp.,REE & electric metals
Golden Arrow Resources,REE & electric metals
Gossan Resources Limited,REE & electric metals
Hammer Metals Ltd,REE & electric metals
ioneer,REE & electric metals
Largo Resources Ltd.,REE & electric metals
Leading Edge Materials Corp.,REE & electric metals
Lepidico Ltd.,REE & electric metals
Lomiko Metals Inc.,REE & electric metals
Millennial Lithium Corp.,REE & electric metals
Mira Stone Ltd,REE & electric metals
Mkango Resources,REE & electric metals
Montero Mining & Exploration Ltd.,REE & electric metals
"Morefield Gem Mine, Inc.",REE & electric metals
Neo Lithium Corp.,REE & electric metals
NioBay Metals Inc.,REE & electric metals
Northern Graphite Corporation,REE & electric metals
Oro Verde Limited,REE & electric metals
Pancontinental Resources Corporation,REE & electric metals
Patagonia Exploracion S.A.,REE & electric metals
Plateau Energy Metals Inc.,REE & electric metals
Portofino Resources Inc.,REE & electric metals
Power Ore Inc.,REE & electric metals
Red Metal Resources Ltd.,REE & electric metals
Rio Tinto,REE & electric metals
Sayona Mining Limited,REE & electric metals
Searchlight Resources Inc.,REE & electric metals
Ucore Rare Metals Inc.,REE & electric metals
VanadiumCorp Resource Inc.,REE & electric metals
Wealth Minerals Ltd.,REE & electric metals
Wheaton Precious Metals Corp.,REE & electric metals
Zen Graphene Solutions,REE & electric metals
AbraPlata Resource Corp.,Silver
Adriatic Metals Plc,Silver
Adventus Mining Corporation,Silver
Affinity Metals  Corp,Silver
Alexco Resource Corp.,Silver
Almaden Minerals Ltd.,Silver
Altius Minerals Corp.,Silver
American Creek Resources Ltd.,Silver
Americas Gold and Silver,Silver
Aquila Resources Inc.,Silver
Argonaut Gold Inc.,Silver
Ascendant Resources Inc.,Silver
Ascot Resources Ltd.,Silver
ATAC Resources Ltd.,Silver
Auramex Resource Corp,Silver
Aurania Resources Ltd.,Silver
Aurora Minerals Group LLP,Silver
AURYN Mining Corp.,Silver
Auryn Resources Inc.,Silver
Avino Silver & Gold Mines Ltd.,Silver
Awale Resources Ltd.,Silver
Azure Minerals Limited,Silver
BeMetals Corp.,Silver
BlackRock Gold Corp.,Silver
Blind Creek Resources Ltd.,Silver
Brixton Metals Corporation,Silver
BTU Metals Corp.,Silver
Callinex Mines Inc.,Silver
Cerro de Pasco Resources Inc.,Silver
Chakana Copper Corporation,Silver
Chesapeake Gold Corporation,Silver
Constantine Metal Resources Ltd.,Silver
Consulting & Mining Sevices SRL,Silver
Copper Mountain Mining Corporation,Silver
Corvus Gold Inc.,Silver
Crystal Lake Mining,Silver
CVK Mining Group,Silver
Defiance Silver Corp.,Silver
Discovery Group,Silver
Eagle Plains Resources Ltd.,Silver
Eastfield Resources Ltd.,Silver
Eclipse Gold Mining Corp,Silver
"EDM-Empresa de Desenvolvimento Mineiro, SA",Silver
Ely Gold Royalties Inc.,Silver
EMX Royalty Corp.,Silver
Equus Mining Limited,Silver
Eros Resources Corp.,Silver
Evrim Resources Corp.,Silver
First Majestic Silver Corp.,Silver
Fomicruz S.E.,Silver
Forum Energy Metals Corp.,Silver
Galway Metals Inc.,Silver
Geophysx Jamaica Ltd,Silver
Globe Trotters Resource Group Inc.,Silver
Globex Mining Enterprises Inc.,Silver
Gold Group Management Inc.,Silver
Golden Arrow Resources,Silver
Golden Minerals Company,Silver
Goldmoney Inc.,Silver
Goldspot Discoveries Inc.,Silver
GR Sliver Mining Ltd.,Silver
GT Gold Corp.,Silver
Hecla Mining Company,Silver
High Power Exploration,Silver
Impact Silver Corp.,Silver
Integra Resources Corp.,Silver
International Millennium Mining Corp.,Silver
Klondike Silver Corp.,Silver
Kootenay Silver Inc.,Silver
Kutcho Copper Corp.,Silver
Latin Metals Inc.,Silver
Laurion Mineral Exploration Inc.,Silver
Lundin Group,Silver
Mako Mining Corp.,Silver
MANAGEM Group,Silver
Manex Resource Group Inc.,Silver
Maya Gold & Silver Inc.,Silver
McEwen Mining Inc.,Silver
Metallic Group of Companies,Silver
Metals Group Inc.,Silver
Midland Exploration Inc.,Silver
Minaurum Gold Inc.,Silver
Mira Stone Ltd,Silver
Mirasol Resources Ltd.,Silver
Murchison Minerals Ltd.,Silver
New Found Gold Corp,Silver
New Gold Inc.,Silver
New Pacific Metals Corp.,Silver
Newcrest Mining Ltd.,Silver
Newmont Corporation,Silver
Newrange Gold Corp.,Silver
Nicola Mining Inc.,Silver
Northern Dynasty Minerals Ltd.,Silver
NorZinc Ltd,Silver
Opus One Resources Inc.,Silver
Pacific Trends Resources Pty Ltd,Silver
Patagonia Exploracion S.A.,Silver
Peel Mining Ltd.,Silver
Power Ore Inc.,Silver
PPX Mining Corp.,Silver
Premier Gold Mines Limited,Silver
Prophecy Development Corp.,Silver
Red Cloud Securities Inc.,Silver
Redstar Gold Corp.,Silver
Regulus Resources Inc.,Silver
Renaissance Gold Inc.,Silver
Revelo Resources Corp.,Silver
Rio Tinto,Silver
Riverside Resources Inc.,Silver
Rockcliff Metals Corporation,Silver
ROKMASTER Resources Corp.,Silver
Romios Gold Resources Inc.,Silver
Royal Canadian Mint,Silver
Rugby Mining Limited,Silver
Sabina Gold & Silver Corp.,Silver
Sandstorm Gold Royalties,Silver
Sierra Metals Inc.,Silver
Silver Bear Resources Plc.,Silver
Silver One Resources,Silver
Silvercorp Metals Inc.,Silver
SilverCrest Metals Inc.,Silver
Sitka Gold Corp,Silver
Skeena Resources Ltd.,Silver
Sonoro Metals Corp.,Silver
South32 Limited,Silver
Sphinx Resources Ltd.,Silver
Spirit Mining LLC,Silver
Sprott Group of Companies,Silver
Steppe Gold Limited,Silver
Strategic Exploration Group,Silver
Stuhini Exploration Ltd.,Silver
Telson Mining Corporation,Silver
Tempus Resources Limited,Silver
Timberline Resources Corporation,Silver
Tinka Resources Limited,Silver
Trevali Mining Corporation,Silver
Trilogy Metals Inc.,Silver
Vizsla Resources Corp.,Silver
VR Resources Ltd.,Silver
Western Alaska Copper and Gold,Silver
Westhaven Ventures Inc.,Silver
Wheaton Precious Metals Corp.,Silver
White Rock Minerals,Silver
Windfall Geotek Inc.,Silver
Ximen Mining Corp.,Silver
Yukon Mining Alliance,Silver
ALX Resources Corp.,Uranium
Appia Energy Corp.,Uranium
BHP,Uranium
CanAlaska Uranium Ltd.,Uranium
Denison Mines Corp.,Uranium
Discovery Group,Uranium
Eagle Plains Resources Ltd.,Uranium
Energy Fuels Inc.,Uranium
Fission Uranium Corp.,Uranium
Fomicruz S.E.,Uranium
Forum Energy Metals Corp.,Uranium
Golden Arrow Resources,Uranium
IsoEnergy Ltd.,Uranium
Lundin Group,Uranium
Maya Gold & Silver Inc.,Uranium
Plateau Energy Metals Inc.,Uranium
Purepoint Uranium Group Inc.,Uranium
Red Cloud Securities Inc.,Uranium
Rio Tinto,Uranium
Skyharbour Resources Ltd.,Uranium
UEX Corporation,Uranium
Uranium Energy Corp.,Uranium
Ur-Energy Inc.,Uranium
Western Uranium & Vanadium Corp.,Uranium
Adriatic Metals Plc,Zinc
Adventus Mining Corporation,Zinc
Affinity Metals  Corp,Zinc
Aftermath Silver Ltd,Zinc
Alexco Resource Corp.,Zinc
American Creek Resources Ltd.,Zinc
Americas Gold and Silver,Zinc
Aquila Resources Inc.,Zinc
Ascendant Resources Inc.,Zinc
ATAC Resources Ltd.,Zinc
Auramex Resource Corp,Zinc
Aurum Discovery,Zinc
Avino Silver & Gold Mines Ltd.,Zinc
Azure Minerals Limited,Zinc
BeMetals Corp.,Zinc
Blind Creek Resources Ltd.,Zinc
BWR Exploration Inc.,Zinc
Callinex Mines Inc.,Zinc
CanAlaska Uranium Ltd.,Zinc
Cerro de Pasco Resources Inc.,Zinc
Chesapeake Gold Corporation,Zinc
Commander Resources Ltd.,Zinc
Constantine Metal Resources Ltd.,Zinc
CVK Mining Group,Zinc
Discovery Group,Zinc
Eagle Plains Resources Ltd.,Zinc
Eastfield Resources Ltd.,Zinc
"EDM-Empresa de Desenvolvimento Mineiro, SA",Zinc
EMX Royalty Corp.,Zinc
Exiro Minerals Corp.,Zinc
Foran Mining Corporation,Zinc
Galway Metals Inc.,Zinc
Geophysx Jamaica Ltd,Zinc
Globe Trotters Resource Group Inc.,Zinc
Globex Mining Enterprises Inc.,Zinc
Globmine LLP,Zinc
Golden Arrow Resources,Zinc
Gossan Resources Limited,Zinc
GR Sliver Mining Ltd.,Zinc
Hecla Mining Company,Zinc
International Millennium Mining Corp.,Zinc
Klondike Silver Corp.,Zinc
Kootenay Silver Inc.,Zinc
Kutcho Copper Corp.,Zinc
Laurion Mineral Exploration Inc.,Zinc
MANAGEM Group,Zinc
Manex Resource Group Inc.,Zinc
Maya Gold & Silver Inc.,Zinc
Metallic Group of Companies,Zinc
Midland Exploration Inc.,Zinc
Mira Stone Ltd,Zinc
Murchison Minerals Ltd.,Zinc
Newmont Corporation,Zinc
Nexa Resources S.A.,Zinc
Noront Resources Ltd.,Zinc
NorZinc Ltd,Zinc
Opus One Resources Inc.,Zinc
Osisko Metals Incorporated,Zinc
Pacific Trends Resources Pty Ltd,Zinc
Patagonia Exploracion S.A.,Zinc
Peel Mining Ltd.,Zinc
Prophecy Development Corp.,Zinc
Red Cloud Securities Inc.,Zinc
Rio Tinto,Zinc
Rockcliff Metals Corporation,Zinc
ROKMASTER Resources Corp.,Zinc
ScoZinc Mining Ltd.,Zinc
Sierra Metals Inc.,Zinc
Silvercorp Metals Inc.,Zinc
Solitario Zinc Corp.,Zinc
South32 Limited,Zinc
Sphinx Resources Ltd.,Zinc
Spirit Mining LLC,Zinc
Strategic Exploration Group,Zinc
Stuhini Exploration Ltd.,Zinc
Sun Peak Metals,Zinc
Teck Resources Limited,Zinc
Telson Mining Corporation,Zinc
Tethyan Resource Corp.,Zinc
Tinka Resources Limited,Zinc
Transition Metals Corp.,Zinc
Trevali Mining Corporation,Zinc
Trilogy Metals Inc.,Zinc
Ubique Minerals Ltd.,Zinc
Valoriza Mineria SL,Zinc
Western Alaska Copper and Gold,Zinc
White Rock Minerals,Zinc
Windfall Geotek Inc.,Zinc
Yorbeau Resources Inc.,Zinc
Yukon Mining Alliance,Zinc
ZincX Resources Corp.,Zinc
