name,commodity
Golden Arrow Resources,Copper
GoldMining Inc.,Copper
Gossan Resources Limited,Copper
GR Sliver Mining Ltd.,Copper
GT Gold Corp.,Copper
Hammer Metals Ltd,Copper
Happy Creek Minerals Ltd.,Copper
Harfang Exploration Inc.,Copper
High Power Exploration,Copper
International Millennium Mining Corp.,Copper
Ivanhoe Mines,Copper
Japan Gold Corp.,Copper
K92 Mining Inc.,Copper
Kutcho Copper Corp.,Copper
Lara Exploration Ltd.,Copper
Latin Metals Inc.,Copper
Libero Copper,Copper
Longland Resources Ltd,Copper
"Lumina Group, The",Copper
Lundin Group,Copper
MANAGEM Group,Copper
Manex Resource Group Inc.,Copper
Maya Gold & Silver Inc.,Copper
Metallic Group of Companies,Copper
Metals Group Inc.,Copper
Midland Exploration Inc.,Copper
Minaurum Gold Inc.,Copper
Minera Alamos Inc.,Copper
Mira Stone Ltd,Copper
Mirasol Resources Ltd.,Copper
Monument Mining Limited,Copper
Mundoro Capital Inc.,Copper
Nevada Copper Corp.,Copper
New Gold Inc.,Copper
Newcrest Mining Ltd.,Copper
Newmont Corporation,Copper
Newrange Gold Corp.,Copper
Nexa Resources S.A.,Copper
NioBay Metals Inc.,Copper
Noront Resources Ltd.,Copper
Northern Dynasty Minerals Ltd.,Copper
Northern Shield Resources Inc.,Copper
OceanaGold Corporation,Copper
Opus One Resources Inc.,Copper
Orestone Mining Corp,Copper
Pacific Empire Minerals Corp.,Copper
Pacific Trends Resources Pty Ltd,Copper
Palladium One,Copper
Pancontinental Resources Corporation,Copper
Panoro Minerals Ltd.,Copper
Panthera Resources Plc,Copper
Patagonia Exploracion S.A.,Copper
Peel Mining Ltd.,Copper
Playfair Mining Ltd.,Copper
PolyMet Mining Corp.,Copper
Power Ore Inc.,Copper
Prolific Mining Corp.,Copper
Quaterra Resources Inc.,Copper
Red Cloud Securities Inc.,Copper
Red Metal Resources Ltd.,Copper
Regulus Resources Inc.,Copper
Revelo Resources Corp.,Copper
Rio Tinto,Copper
Riverside Resources Inc.,Copper
Rockcliff Metals Corporation,Copper
ROKMASTER Resources Corp.,Copper
Romios Gold Resources Inc.,Copper
Royal Road Minerals,Copper
Rugby Mining Limited,Copper
Salazar Resources Limited,Copper
Sandstorm Gold Royalties,Copper
Searchlight Resources Inc.,Copper
Serengeti Resources Inc.,Copper
Sierra Metals Inc.,Copper
Sitka Gold Corp,Copper
SolGold,Copper
South32 Limited,Copper
SPC Metals,Copper
