,name,biztype
141,Mud Bay Drilling,Drill Equip/Serv & Compressors
142,Multi-Power Products Ltd.,Drill Equip/Serv & Compressors
143,National Compressed Air Canada Ltd.,Drill Equip/Serv & Compressors
144,Northspan Explorations Ltd.,Drill Equip/Serv & Compressors
145,Northwest Drills,Drill Equip/Serv & Compressors
146,PHQGlobal,Drill Equip/Serv & Compressors
147,Pozitif Drilling Canada Ltd.,Drill Equip/Serv & Compressors
148,Priority Drilling Ltd.,Drill Equip/Serv & Compressors
149,Reflex Instruments N.A.,Drill Equip/Serv & Compressors
150,RNP MEXICO,Drill Equip/Serv & Compressors
151,Sandvik Mining,Drill Equip/Serv & Compressors
152,"Schramm, Inc.",Drill Equip/Serv & Compressors
153,Spektra Drilling,Drill Equip/Serv & Compressors
154,Swick Drilling North America,Drill Equip/Serv & Compressors
155,Team Drilling LP,Drill Equip/Serv & Compressors
156,VersaDrill Canada,Drill Equip/Serv & Compressors
157,Wink Vibracore Drill Company Ltd.,Drill Equip/Serv & Compressors
158,ABEL Pumps LP,Expl/Mining Equipment/Supplies
159,AGT Systems,Expl/Mining Equipment/Supplies
160,AIL Mining,Expl/Mining Equipment/Supplies
161,Atom Bits,Expl/Mining Equipment/Supplies
162,Aziwell AS,Expl/Mining Equipment/Supplies
163,BESTECH,Expl/Mining Equipment/Supplies
164,Bme,Expl/Mining Equipment/Supplies
165,BPQ,Expl/Mining Equipment/Supplies
166,Canpipe,Expl/Mining Equipment/Supplies
167,CDN Resource Laboratories Ltd.,Expl/Mining Equipment/Supplies
168,Chemours,Expl/Mining Equipment/Supplies
169,Core Case,Expl/Mining Equipment/Supplies
170,Core Tech,Expl/Mining Equipment/Supplies
171,CoreSafe Core Trays,Expl/Mining Equipment/Supplies
172,Cryopeak LNG Solutions Corporation,Expl/Mining Equipment/Supplies
173,CyanoGuard AG,Expl/Mining Equipment/Supplies
174,DATC,Expl/Mining Equipment/Supplies
175,De Beers Group Services,Expl/Mining Equipment/Supplies
176,Deakin Industries,Expl/Mining Equipment/Supplies
177,Derrick Corporation,Expl/Mining Equipment/Supplies
178,Devico Directional Drilling,Expl/Mining Equipment/Supplies
179,Diamantina Christensen Trading Inc.,Expl/Mining Equipment/Supplies
180,Di-Corp,Expl/Mining Equipment/Supplies
181,Displasac,Expl/Mining Equipment/Supplies
182,Doppelmayr,Expl/Mining Equipment/Supplies
183,Dynamik Drilling Products,Expl/Mining Equipment/Supplies
184,Enterprise Holdings Ottawa,Expl/Mining Equipment/Supplies
185,Equipment Jexplore Inc.,Expl/Mining Equipment/Supplies
186,ERIEZ,Expl/Mining Equipment/Supplies
187,Eutectic Canada Inc.,Expl/Mining Equipment/Supplies
188,F.F.P. Systems Inc.,Expl/Mining Equipment/Supplies
189,Foremost Industries,Expl/Mining Equipment/Supplies
190,FWS Group of Companies,Expl/Mining Equipment/Supplies
191,Gekko Systems,Expl/Mining Equipment/Supplies
192,GeoMinera S.A.,Expl/Mining Equipment/Supplies
193,Geotek Ltd.,Expl/Mining Equipment/Supplies
194,GMS Mine Repair & Maintenance,Expl/Mining Equipment/Supplies
195,Halltech Exploration Outfitters,Expl/Mining Equipment/Supplies
196,Inertial Sensing,Expl/Mining Equipment/Supplies
197,Ingetrol Group,Expl/Mining Equipment/Supplies
198,IRL Supplies Ltd.,Expl/Mining Equipment/Supplies
199,"Jinshi Drilltech Co., Ltd.",Expl/Mining Equipment/Supplies
200,Kovatera,Expl/Mining Equipment/Supplies
201,Kuvawala Core Drill Eqpt. Pvt. Ltd.,Expl/Mining Equipment/Supplies
202,Levanto Canada Inc.,Expl/Mining Equipment/Supplies
203,Loesche South Africa,Expl/Mining Equipment/Supplies
204,MacLean Engineering,Expl/Mining Equipment/Supplies
205,Manufacture Adria inc.,Expl/Mining Equipment/Supplies
206,Matrix Helicopter Solutions Inc.,Expl/Mining Equipment/Supplies
207,MBI Drilling Products,Expl/Mining Equipment/Supplies
208,McDowell B. Equipment,Expl/Mining Equipment/Supplies
209,Megadome Buildings,Expl/Mining Equipment/Supplies
210,Meglab,Expl/Mining Equipment/Supplies
211,Metso,Expl/Mining Equipment/Supplies
212,"M-I SWACO, A Schlumberger Co.",Expl/Mining Equipment/Supplies
213,Minalyze AB,Expl/Mining Equipment/Supplies
214,Mincon Group PLC,Expl/Mining Equipment/Supplies
215,Mineral Technologies,Expl/Mining Equipment/Supplies
216,MMD Mineral Sizing Canada Inc.,Expl/Mining Equipment/Supplies
217,Northern Light Technologies,Expl/Mining Equipment/Supplies
218,Northern Ontario Mining Showcase,Expl/Mining Equipment/Supplies
219,NSS Canada,Expl/Mining Equipment/Supplies
220,NTT CORESAW,Expl/Mining Equipment/Supplies
221,Olympus,Expl/Mining Equipment/Supplies
