name,country
Golden Goliath Resources Ltd.,Canada
Golden Predator Mining Corp.,Canada
GoldMining Inc.,Canada
Goldmoney Inc.,Canada
Goldspot Discoveries Inc.,Canada
Gossan Resources Limited,Canada
Gowest Gold Ltd.,Canada
Greg Exploration Inc.,Canada
Grid Metals Corp.,Canada
Grizzly Discoveries Inc.,Canada
GT Gold Corp.,Canada
Happy Creek Minerals Ltd.,Canada
Harfang Exploration Inc.,Canada
Harte Gold Corp.,Canada
Hecla Mining Company,Canada
High Power Exploration,Canada
HighGold Mining Inc,Canada
HPQ Silicon Resources,Canada
IAMGOLD Corporation,Canada
Independence Gold Corp.,Canada
IsoEnergy Ltd.,Canada
Jameson Resources Limited,Canada
Kesselrun Resources Ltd.,Canada
Kirkland Lake Gold Ltd.,Canada
Klondike Silver Corp.,Canada
Kutcho Copper Corp.,Canada
Laurion Mineral Exploration Inc.,Canada
Lepidico Ltd.,Canada
Libero Copper,Canada
Lomiko Metals Inc.,Canada
Lundin Group,Canada
Manex Resource Group Inc.,Canada
Manganese X Energy Corp.,Canada
Manitou Gold Inc.,Canada
Marathon Gold Corporation,Canada
Market Making Services Inc.,Canada
McEwen Mining Inc.,Canada
MegumaGold,Canada
Metallic Group of Companies,Canada
Metals Creek Resources Corp.,Canada
Metals Group Inc.,Canada
Midland Exploration Inc.,Canada
Monarques Gold Corporation,Canada
Moneta Porcupine Mines Inc.,Canada
Morien Resources Corp.,Canada
Moydow Resources Limited,Canada
Murchison Minerals Ltd.,Canada
New Age Metals,Canada
New Found Gold Corp,Canada
New Gold Inc.,Canada
New Pacific Metals Corp.,Canada
Newcrest Mining Ltd.,Canada
Newmont Corporation,Canada
Nicola Mining Inc.,Canada
NioBay Metals Inc.,Canada
Noront Resources Ltd.,Canada
North Arrow Minerals Inc.,Canada
Northern Graphite Corporation,Canada
Northern Shield Resources Inc.,Canada
Northern Superior Resources Inc.,Canada
Northstar Gold Corp.,Canada
NorZinc Ltd,Canada
Nouveau Monde Graphite,Canada
Olivut Resources Ltd.,Canada
Opus One Resources Inc.,Canada
Orefinders Resources Inc.,Canada
Orestone Mining Corp,Canada
Orford Mining Corp.,Canada
Osisko Metals Incorporated,Canada
OTC Markets Group,Canada
Otso Gold Corp.,Canada
Pacific Empire Minerals Corp.,Canada
Pacton Gold Inc.,Canada
Palladium One,Canada
Pancontinental Resources Corporation,Canada
Pavey Ark Minerals Inc.,Canada
Pelangio Exploration Inc.,Canada
Portofino Resources Inc.,Canada
Power Ore Inc.,Canada
Premier Gold Mines Limited,Canada
Privateer Gold,Canada
Probe Metals Inc.,Canada
Prophecy Development Corp.,Canada
Pure Gold Mining,Canada
Purepoint Uranium Group Inc.,Canada
QMX Gold Corporation,Canada
Radisson Mining Resources Inc.,Canada
Red Cloud Securities Inc.,Canada
Red Pine Exploration Inc.,Canada
Renforth Resources Inc.,Canada
Resource Capital Funds,Canada
Richardson GMP - Alexandra Horwood,Canada
Rio Tinto,Canada
Riverside Resources Inc.,Canada
RJK Explorations Ltd.,Canada
RNC Minerals,Canada
Rockcliff Metals Corporation,Canada
ROKMASTER Resources Corp.,Canada
Romios Gold Resources Inc.,Canada
Royal Canadian Mint,Canada
Sabina Gold & Silver Corp.,Canada
Sandstorm Gold Royalties,Canada
Sayona Mining Limited,Canada
ScoZinc Mining Ltd.,Canada
Searchlight Resources Inc.,Canada
Serengeti Resources Inc.,Canada
Sidex,Canada
Sirios Resources Inc.,Canada
Sitka Gold Corp,Canada
Skeena Resources Ltd.,Canada
Skyharbour Resources Ltd.,Canada
Sokoman Minerals Corp.,Canada
South32 Limited,Canada
SPC Metals,Canada
Sphinx Resources Ltd.,Canada
Spirit Mining LLC,Canada
Sprott Group of Companies,Canada
Star Diamond Corporation,Canada
Stratabound Minerals Corp.,Canada
Strategic Exploration Group,Canada
Strongbow Exploration Inc.,Canada
Stuhini Exploration Ltd.,Canada
Talisker Resources,Canada
Talmora Diamond Inc.,Canada
Teck Resources Limited,Canada
Tempus Resources Limited,Canada
Toronto Stock Exchange,Canada
Transition Metals Corp.,Canada
Treasury Metals Inc.,Canada
Tres-Or Resources Ltd.,Canada
Trevali Mining Corporation,Canada
Tri Origin Exploration Ltd.,Canada
Triumph Gold Corp.,Canada
Troilus Gold Corp.,Canada
Tudor Gold Corp.,Canada
Ubique Minerals Ltd.,Canada
Ucore Rare Metals Inc.,Canada
