,name,country
763,Prolific Mining Corp.,United States
764,Prophecy Development Corp.,United States
765,Quaterra Resources Inc.,United States
766,Redstar Gold Corp.,United States
767,Renaissance Gold Inc.,United States
768,Revival Gold Inc.,United States
769,Rio Tinto,United States
770,Romios Gold Resources Inc.,United States
771,S2 Resources Ltd.,United States
772,Sandstorm Gold Royalties,United States
773,Silver One Resources,United States
774,Sitka Gold Corp,United States
775,Solitario Zinc Corp.,United States
776,South32 Limited,United States
777,Spirit Mining LLC,United States
778,Strategic Exploration Group,United States
779,Talon Metals Corp.,United States
780,Teck Resources Limited,United States
781,Tectonic Metals Inc.,United States
782,Timberline Resources Corporation,United States
783,Trilogy Metals Inc.,United States
784,Ucore Rare Metals Inc.,United States
785,Uranium Energy Corp.,United States
786,Ur-Energy Inc.,United States
787,Vior Inc.,United States
788,Viva Gold Corp.,United States
789,VR Resources Ltd.,United States
790,Western Alaska Copper and Gold,United States
791,Western Uranium & Vanadium Corp.,United States
792,White Rock Minerals,United States
793,Zephyr Minerals Ltd.,United States
794,Blackstone Minerals Ltd,Viet Nam
795,Panthera Resources Plc,West Africa
796,Cantex Mine Development Corp,Yemen
797,Anglo American,Zambia
798,BeMetals Corp.,Zambia
799,Copperzone Resources Limited,Zambia
800,Rio Tinto,Zambia
