,name,country
173,Eros Resources Corp.,Canada
174,Evergold Corp,Canada
175,Evrim Resources Corp.,Canada
176,Exiro Minerals Corp.,Canada
177,First Mining Gold Corp.,Canada
178,Fission Uranium Corp.,Canada
179,Focus Graphite Inc.,Canada
180,Foran Mining Corporation,Canada
181,Fortune Minerals Limited,Canada
182,Forum Energy Metals Corp.,Canada
183,FPX Nickel Corp.,Canada
184,Frontier Lithium Inc.,Canada
185,Galleon Gold Corp.,Canada
186,Galway Metals Inc.,Canada
187,Garibaldi Resources Corp,Canada
188,Gatling Exploration Inc.,Canada
189,Generation Mining Limited,Canada
190,Genesis Metals,Canada
191,Geomega Resources Inc.,Canada
192,GFG Resources Inc.,Canada
193,Globex Mining Enterprises Inc.,Canada
194,Go Metals Corp.,Canada
195,Gold Terra Resource Corp.,Canada
196,Golden Arrow Resources,Canada
197,Golden Goliath Resources Ltd.,Canada
198,Golden Predator Mining Corp.,Canada
199,GoldMining Inc.,Canada
200,Goldmoney Inc.,Canada
201,Goldspot Discoveries Inc.,Canada
202,Gossan Resources Limited,Canada
203,Gowest Gold Ltd.,Canada
204,Greg Exploration Inc.,Canada
205,Grid Metals Corp.,Canada
206,Grizzly Discoveries Inc.,Canada
207,GT Gold Corp.,Canada
208,Happy Creek Minerals Ltd.,Canada
209,Harfang Exploration Inc.,Canada
210,Harte Gold Corp.,Canada
211,Hecla Mining Company,Canada
212,High Power Exploration,Canada
213,HighGold Mining Inc,Canada
214,HPQ Silicon Resources,Canada
215,IAMGOLD Corporation,Canada
216,Independence Gold Corp.,Canada
217,IsoEnergy Ltd.,Canada
218,Jameson Resources Limited,Canada
219,Kesselrun Resources Ltd.,Canada
220,Kirkland Lake Gold Ltd.,Canada
221,Klondike Silver Corp.,Canada
222,Kutcho Copper Corp.,Canada
223,Laurion Mineral Exploration Inc.,Canada
224,Lepidico Ltd.,Canada
225,Libero Copper,Canada
226,Lomiko Metals Inc.,Canada
227,Lundin Group,Canada
228,Manex Resource Group Inc.,Canada
229,Manganese X Energy Corp.,Canada
230,Manitou Gold Inc.,Canada
231,Marathon Gold Corporation,Canada
232,Market Making Services Inc.,Canada
