id,booth,name,website
129,6502N,Deswik,http://www.deswik.com
130,517,Devico Directional Drilling,http://www.devico.com
131,842,DGI Geoscience Inc.,http://www.dgigeoscience.com
132,1328,Diamantina Christensen Trading Inc.,http://www.diamantinachristensen.com
133,643,Dias Geophysical Limited,http://www.diasgeo.com
134,426,Di-Corp,http://www.di-corp.com
135,6325N,DigiGeoData Inc.,http://www.digigeodata.com
136,1251,Discovery Drill Manufacturer DDM Ltd.,http://www.discoverydrills.com
137,1042,Discovery International Geophysics Inc.,http://www.discogeo.com
138,7325N,Displasac,http://www.displasacperu.com
139,604,DMC Mining Services,http://www.dmcmining.com
140,622,DMT Group,http://www.dmt-group.com
141,1403,Doppelmayr,http://www.doppelmayr-mts.com
142,423,DRA Americas Inc.,http://www.draglobal.com
143,6724N,Drone Delivery Canada,http://www.dronedeliverycanada.com
144,7324N,DroneDeploy,http://www.dronedeploy.com
145,507,Dumas Contracting Ltd.,http://www.dumasmining.com
146,1405,Dundee Sustainable Technologies Inc.,http://www.dundeetechnologies.com
147,447,Duralite Diamond Drills Ltd.,http://www.duralitediamonddrills.com
148,6224N,dynaCERT Inc.,http://www.dynacert.com
149,626,Dynamic Aviation Group Inc.,http://www.dynamicaviation.com
150,1000,Dynamik Drilling Products,http://www.dynamik.com
151,6407N,E.S. Fox Limited,http://www.esfox.com
152,1248,ECO Technologies,http://www.ecotec.ca
153,6209N,Egyptian Ministry of Petroleum and Mineral Resources (MOP),http://www.emra.gov.eg
154,6931N,Eijkelkamp North America,http://www.eijkelkamp-usa.com
155,847,ElectroMagnetic Imaging Technology,http://www.electromag.com.au
156,6329N,ELEMISSION Inc.,http://www.elemission.ca
157,6204N,EMS Bruel & Kjaer,http://www.emsbk.com
158,6208N,Enersoft,http://www.enersoft.ca
159,6824N,Enterprise Holdings Ottawa,http://www.enterprisetrucks.com
160,312,EON Geosciences Inc.,http://www.eongeosciences.com
161,1146,Equipment Jexplore Inc.,http://www.jexploreinc.com
162,6217N,Equity Exploration Consultants Ltd.,http://www.equityexploration.com
163,1140,ERIEZ,http://www.eriez.com
164,326,ERM,http://www.erm.com
165,701,Esri Canada,http://www.esri.ca
166,7529N,eSupply Canada Ltd.,http://www.esupplycanada.ca
167,7123N,European Union,http://www.europa.eu/european-union
168,6411N,Eutectic Canada Inc.,http://www.eutectic.ca
169,1223,Expedition Helicopters Inc.,http://www.expeditionhelicopters.com
170,717,Expert Geophysics Limited,http://www.expertgeophysics.com
171,7219N,Exploration Mapping Group Inc.,http://www.explorationmapping.com
172,552,Export Development Canada,http://www.edc.ca
173,7419N,Exyn Technologies,http://www.exyn.com
174,947,F.F.P. Systems Inc.,http://www.ffpsystems.com
175,409,"Finland, Geological Survey of",http://geologicalsurveyfinland.com
176,703,Fladgate Exploration Consulting Corporation,http://www.fladgateexploration.com
177,525,FLSmidth Ltd.,http://www.flsmidth.com
178,1141,Foraco International SA,http://www.foraco.com
179,6522N,Forage FTE Drilling,http://www.foragefte.com
180,240,Forage Orbit Garant Drilling,http://www.orbitgarant.com
181,723,Fordia Powered by Epiroc,http://www.epiroc.com
182,433,Foremost Industries,http://www.foremost.ca
183,1129,"Foth Infrastructure & Environment, LLC",http://www.foth.com
184,344,Fracflow Consultants Inc.,http://www.fracflow.com
185,314,FWS Group of Companies,http://www.fwsgroup.com
186,1238,G Mining Services Inc.,http://www.gmining.com
187,7211N,G4 Drilling Ltd.,http://www.g4drilling.com
188,150,Galaxy Broadband Communications Inc.,http://www.galaxybroadband.ca
189,6225N,Gap - Discovery HeliSAM Ltd.,http://www.discogeo.com
190,305,Gekko Systems,http://www.gekkos.com
191,"705, 802",GEM Systems Advanced Magnetometers,http://www.gemsystems.ca
192,818,Geo Data Solutions Inc.,http://www.geodatasolutions.ca
193,7417N,GeoCue Group Inc.,http://www.geocue.com
194,1206,GEODEVICE,http://www.geodevice.co
195,333,Geologica Inc.,http://www.geologica.qc.ca
196,6401N,Geological Association of Canada (GAC),http://www.gac.ca
197,317,Geological Survey of New South Wales (Australia Minerals),http://www.australiaminerals.gov.au
198,412,Geological Survey of Victoria (Australia Minerals),http://www.australiaminerals.gov.au
199,1242,Geometrics,http://www.geometrics.com
200,6635N,GeoMinera S.A.,http://www.gmsa.cu
201,811,Geonics Limited,http://www.geonics.com
202,1004,Geophysics GPR International Inc.,http://www.geophysicsgpr.com
203,7308N,Geops-Bolkan Drilling Services Ltd.,http://www.geopsbg.com
204,6311N,GEOREKA Software,http://www.georeka.com
205,6729N,Geoscan,https://www.geoscan.aero
206,313,Geoscience Australia (Australia Minerals),http://www.australiaminerals.gov.au
207,607,Geosense,http://www.geosense.nl
208,7429N,GeoSight Inc.,http://www.geosight.ca
209,100,Geotech Drilling Services Ltd.,http://www.geotechdrilling.com
210,1209,Geotech Ltd.,http://www.geotech.ca
211,444,Geotechnologies,http://www.geotechnologies-rus.com
212,6127N,Geotek Ltd.,http://www.geotek.co.uk
213,124,Géotic Inc.,http://www.geotic.ca
214,1330,Geovariances,http://www.geovariances.com/en
215,1439,Geovista,http://www.geovista.co.uk
216,"6114N, 6115N",German Pavilion - Federal Ministry for Economic Affairs and Energy (BMWi),https://www.bmwi.de
217,6108N,GF Instruments,http://www.gfinstruments.cz
218,6308N,Globalstar Canada Satellite Co.,http://www.globalstar.com/en-ca
219,7209N,GMS Mine Repair & Maintenance,http://www.gmsminerepair.com
220,342,Golder,http://www.golder.com
221,7414N,GoldFinX PTE Ltd.,http://www.goldfinx.com
222,413,Greenland Business Association,http://www.ga.gl
223,417,"Greenland, Government of",http://www.govmin.gl
224,331,Grenville Minerals,
225,702,Groundradar Inc.,http://www.groundradar.com
226,7009N,Guyana ,http://www.ggmc.gov.gy
227,108,Halltech Exploration Outfitters,http://www.htex.com
228,527,Heli Explore Inc.,http://www.heliexplore.ca
229,726,Helicopter Transport Services,http://www.htsc.ca
230,6301N,Helmholtz Institute Freiberg for Resource Technology,http://www.hzdr.de/hif
231,1224,Hexagon Mining,http://www.hexagonmining.com
232,6725N,Hi Tech PMR,http://www.hitechpmr.com
233,406,HiSeis Pty Ltd.,http://www.hiseis.com
234,6427N,Hitec Power Protection Inc.,http://www.hitec-ups.com
235,6313N,Hole Products Corporation,http://www.holeproducts.com
236,6504N,Horizon North Logistics Inc.,http://www.horizonnorth.ca
237,6926N,Hydracore Drills Ltd.,http://www.hydracore.com
238,7304N,HySpex,http://www.hyspex.com
239,351,Hy-Tech Drilling Ltd.,http://www.hy-techdrilling.com
240,6722N,HyVista Corporation Pty Ltd.,http://www.hyvista.com
241,1441,ICOM Canada,http://www.icomcanada.com
242,310,IFG Corporation,http://www.ifgcorp.com
243,253,IGS International Geoscience Services Ltd.,http://www.igsint.com
244,6412N,Imago Inc.,http://www.imago.live
245,7315N,iMotion,http://www.imotion.ca
246,1145,Independent Laboratory Supplies Pty Ltd.,http://www.indlabsupplies.com.au
